component_id,component_name,bloom_level,phrases
computational_thinking,Computational Thinking,understand,"data structure concepts, standard algorithms, standard data structures, algorithmic thinking, problem decomposition, abstraction, pattern recognition, control structures, input-process-output, input process output, IPO model, von neumann architecture, von neumann model, von neumann computer, computer architecture"
computational_thinking,Computational Thinking,apply,"computational process, independent computation, group computation, use computational thinking to collect quality data, apply computational thinking to domain-specific problems, apply computational thinking to complex real-world problems, apply computational thinking in workplace contexts, pseudocode, write pseudocode, design pseudocode, pseudocode for simple programs, convert problem descriptions to pseudocode, algorithm execution, flowcharting, simulate algorithms"
computational_thinking,Computational Thinking,analyze,"analyze computational problems, analyze problem complexity, predict outcomes using computational models, evaluate algorithm choices, compare algorithms for problem solving, choose appropriate data structures, analyze complex problems using computational thinking, analyze real-world problems in workplace and society with CT"
computational_thinking,Computational Thinking,create,"program design, solution design, problem solving strategy, system architecture design, technical specification, workflow design, logic design, design pseudocode-based solutions, design computational solutions for domain-specific problems, design computational solutions for complex workplace problems"
digital_literacy,Digital Literacy,understand,"search engine mechanisms, search engine usage, advanced search, search operators, information ecosystem, fact-checking ecosystem, fake news detection, lateral reading, digital technology devices, document processing tools concepts, spreadsheet tools concepts, presentation tools concepts, cloud connectivity, internet of things, cloud storage concepts"
digital_literacy,Digital Literacy,apply,"advanced search techniques, use search engines, document processing, spreadsheet utilization, use spreadsheets, presentation software, use presentation tools, word processing, microsoft office, excel, word, powerpoint, google workspace, online collaboration, collaboration tools"
digital_literacy,Digital Literacy,evaluate,"fact checking, lateral reading, information evaluation, evaluate online information, detect misinformation, assess credibility of sources, evaluate digital sources, verify information, cross-check information, data privacy, gdpr compliance, phishing awareness, cyber hygiene, information security basics, digital footprint analysis"
digital_literacy,Digital Literacy,create,"digital content creation, multimedia production, content dissemination, blogging, video editing, content management systems, cms, social media management, digital branding, produce digital content, create multimedia content, create presentations, create infographics, create social media content, digital storytelling"
algorithms_programming,Algorithms Programming,analyze,"refractor, debug, algorithm comparison, compare algorithms, programming logic analysis, analyze program logic, code review, complexity analysis, big o notation, benchmarking, performance tuning, analyze algorithm complexity, time complexity, space complexity, profiling code"
algorithms_programming,Algorithms Programming,apply,"algorithm implementation, apply programming algorithms to build applications, application programming, coding, refractor, script, scripting, software implementation, executable creation, debugging basics, write programs, implement algorithms in code, write functions, write procedures, use control structures"
algorithms_programming,Algorithms Programming,create,"application generation, produce applications, build software, deploy application, software engineering, release management, design algorithms, design programs, develop applications, develop software solutions, build prototypes, create AI-enabled applications"
data_analysis,Data Analysis,understand,"database concepts, basis data, data processing concepts, relational database, rdbms, data warehousing, data mining concepts, data encoding, character encoding, utf-8, ascii, database normalization concepts, keys and constraints, role of databases in workplace, role of databases in society"
data_analysis,Data Analysis,apply,"data processing, database management, data cleaning, etl, extract transform load, etl pipelines, data pipelines, excel formulas, spreadsheets, data visualization, tableau, power bi, looker, pandas, numpy"
ai_literacy_ethics,Ai Literacy Ethics,understand,"artificial intelligence principles, ai technology work, machine learning concepts, use ai, ai applications, ai use cases, social impact of ai, responsible use of ai in own field, responsible use of ai in workplace and society"
ai_literacy_ethics,Ai Literacy Ethics,evaluate,"ai ethics, ethical ai, ethical considerations, responsible ai, responsible data use, data security in ai, data protection, data governance, privacy by design, bias detection, model fairness, explainable ai, xai, ai compliance, data privacy"
ai_development,Ai Development,apply,"prompt, prompt engineering, apply prompt engineering to evaluate project understanding, generative ai utilization, use generative ai, large language models usage, use llm tools, chatgpt, prompt, midjourney, copilot, gemini, ai tools integration, use ai assistants, ai-assisted coding"
ai_development,Ai Development,create,"ai project planning, product design with ai, design ai solutions, design ai workflows, prototype development, ai application development, fine-tuning models, rag, retrieval augmented generation, building chatbots, ai solutions, integrate ai into products, build ai-powered features, actualize ai products for domain-specific problems, build ai solutions for workplace and community problems"
workforce_insights,Workforce Insights,analyze,"scrum, agile, kanban, software development steps, game development steps, analyze software development process, analyze game development process, customer needs, analyze customer needs, cloud computing trends, analyze technology trends, job professions, analyze job roles, analyze career paths, market research"
workforce_insights,Workforce Insights,evaluate,"career planning, plan career, evaluate career options, entrepreneurship, entrepreneurship in software, entrepreneurship in games, personal branding, personal branding in tech, project management, product management, freelancing, consulting, startup ecosystem, portfolio building, conclude importance of personal branding for career"
