gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_overlap,notes,is_correct,type_label,bloom_label,labeler_id
gs_df6ca920ce1d,in-9b3833a9e1fd5417,move from place to place within the organization,Soft,,0.593,Medium Low,LLM,0.68,0.9,False,,no,nan,nan,labeler1
gs_9ab663397e50,in-b80e0ab594804dad,actionable insights,Hard,Apply,0.54,Medium Low,BERT (standalone),0.87,0.9,False,,no,nan,nan,labeler1
gs_2c9733288f60,in-3278ed4235ce1ce5,contribute to project initiatives,Hard,Apply,0.566,Medium Low,BERT+LLM,0.83,0.92,False,,yes,nan,nan,labeler1
gs_2db90b686129,in-93d35bef5909087b,embed intelligence across client PC portfolio,Hard,Apply,0.641,Medium,LLM,0.8,0.97,False,,yes,nan,nan,labeler1
gs_5cbf41d2d912,in-d926b3105b1f2495,uphold best practices in coding and design patterns,Hard,Create,0.731,Medium High,LLM,0.77,0.95,False,,yes,nan,nan,labeler1
gs_c6e129e3bb08,in-ec5e0638c86de1ac,protecting the company’s global security posture,Hard,Apply,0.443,Low,BERT (standalone),0.81,0.81,False,,no,nan,nan,labeler1
gs_b285c3e1450d,in-4df4feeef222b833,influence cross-functional teams,Soft,,0.901,Very High,LLM,0.9,1.2,False,,yes,nan,nan,labeler1
gs_974208a8c028,in-c3600cd3827b7a18,translate complex findings into actionable business narratives,Soft,,0.616,Medium,BERT+LLM,0.83,0.94,False,,yes,Hard,Create,labeler1
gs_eb2fb6bcc6f4,in-d4d1876cf437dfb5,design applications,Hard,Create,0.78,Medium High,LLM,0.87,0.99,False,,yes,nan,nan,labeler1
gs_b9ee9a9be4fc,in-92f803b15454a7da,monitor quality of delivery,Hard,Analyze,1.0,Very High,BERT+LLM,0.76,1.21,True,,yes,nan,nan,labeler1
gs_d6c312ab8c14,in-cfa29c8b76c0fa59,Problem,Hard,Apply,0.484,Low,BERT (standalone),0.81,0.82,False,,no,nan,nan,labeler1
gs_05405e14e9c6,in-84631c9d1b210c81,communicate complex analytical findings to non-technical stakeholders,Soft,,0.776,Medium High,BERT+LLM,0.86,1.24,False,,yes,nan,nan,labeler1
gs_d27a011e8dd7,in-1d1342676ede27e0,other written materials.,Hard,Apply,0.483,Low,BERT (standalone),0.82,0.82,True,,no,nan,nan,labeler1
gs_b157c61dd371,in-419aaf9c7b786370,work closely with internal stakeholders,Soft,,0.688,Medium,LLM,0.81,0.97,False,,yes,nan,nan,labeler1
gs_c02ade811f9e,in-b8e58953884c79df,attention to detail,Hard,Understand,0.477,Low,BERT (standalone),0.77,0.86,False,,yes,Soft,nan,labeler1
gs_19aed8eeb68a,in-671571005ebacae4,working in an agile environment,Hard,Apply,0.491,Low,BERT (standalone),0.76,0.85,False,,yes,Hard,Apply,labeler1
gs_96f616faf59f,in-5946b80cede6c15e,oversee facilities projects,Soft,,0.595,Medium Low,BERT+LLM,0.86,0.94,False,,yes,nan,nan,labeler1
gs_afde603c685f,in-f4c6dcb0104bf828,navigate evolving org structures,Hard,Analyze,0.522,Medium Low,BERT (standalone),0.82,0.82,False,,yes,Soft,nan,labeler1
gs_8d0c0b277e5b,in-d9c5a16b8c8a9873,fix bugs,Hard,Apply,0.977,Very High,BERT+LLM,0.73,1.26,True,,yes,Hard,Analyze,labeler1
