job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement
in-1ff77799c8c16660,,drive assurance initiatives,Soft,N/A,0.803,High,BERT+LLM,0.83,1.27
in-1ff77799c8c16660,,drive advisory initiatives,Soft,N/A,0.702,Medium High,BERT+LLM,0.86,1.16
in-1ff77799c8c16660,,support technology portfolio,Soft,N/A,0.682,Medium,LLM,0.86,1.0
in-8b20bbf16019e5c1,,enable bank operations,Soft,N/A,0.608,Medium,LLM,0.8,0.9
in-8b20bbf16019e5c1,,empower bank operations,Soft,N/A,0.61,Medium,LLM,0.81,0.9
in-8b20bbf16019e5c1,,focus on productivity,Soft,N/A,0.607,Medium,LLM,0.79,0.9
in-8b20bbf16019e5c1,,focus on quality,Soft,N/A,0.601,Medium,LLM,0.74,0.9
in-8b20bbf16019e5c1,,focus on control,Soft,N/A,0.601,Medium,LLM,0.74,0.9
in-8b20bbf16019e5c1,,focus on technology,Soft,N/A,0.604,Medium,LLM,0.77,0.9
in-8b20bbf16019e5c1,,focus on people capability,Soft,N/A,0.605,Medium,LLM,0.77,0.9
in-8b20bbf16019e5c1,,focus on innovation,Soft,N/A,0.604,Medium,LLM,0.77,0.9
in-08bda50c77b08f46,,lead effectively,Soft,N/A,0.639,Medium,LLM,0.83,0.9
in-08bda50c77b08f46,,apply fair human resources policies,Soft,N/A,0.634,Medium,LLM,0.79,0.9
in-08bda50c77b08f46,,pay close attention to health enthusiast matters,Soft,N/A,0.633,Medium,LLM,0.78,0.9
in-e60f7f8e30553e08,,build commercial applications,Hard,Create,0.712,Medium High,LLM,0.87,0.9
in-e60f7f8e30553e08,,use infrastructure as code,Hard,Analyze,0.615,Medium,LLM,0.77,0.9
in-e60f7f8e30553e08,,use configuration scripts,Hard,Apply,0.706,Medium High,LLM,0.83,0.9
in-f8982109357c56e0,,experiment creatively,Soft,N/A,0.649,Medium,LLM,0.9,0.9
in-ea2cd0b0c6f52f4f,,simulate microscopic motion of atoms,Hard,Apply,0.671,Medium,LLM,0.79,0.9
in-ea2cd0b0c6f52f4f,,simulate macroscopic flow of liquids,Hard,Apply,0.671,Medium,LLM,0.79,0.9
in-ea2cd0b0c6f52f4f,,build foundation models,Hard,Create,0.674,Medium,LLM,0.81,0.9
in-26af18a0c573f667,,work with cross-disciplined teams,Soft,N/A,1.0,Very High,BERT+LLM,0.81,1.23
in-26af18a0c573f667,,"ensure alignment between creative vision, technical execution, and production targets",Soft,N/A,0.645,Medium,LLM,0.83,0.95
in-26af18a0c573f667,,ensure alignment between creative vision,Hard,Analyze,0.665,Medium,BERT (standalone),0.82,0.85
in-26af18a0c573f667,,technical execution,Hard,Apply,0.512,Medium Low,BERT (standalone),0.87,0.85
in-26af18a0c573f667,,production targets.,Hard,Apply,0.512,Medium Low,BERT (standalone),0.87,0.85
in-aff3b59d34df3979,,architect code,Hard,Create,0.701,Medium High,LLM,0.8,0.9
in-aff3b59d34df3979,,implement code,Hard,Apply,0.701,Medium High,LLM,0.8,0.9
in-aff3b59d34df3979,,deliver code,Hard,Apply,0.696,Medium,LLM,0.77,0.9
in-aff3b59d34df3979,,write code,Hard,Create,0.692,Medium,LLM,0.74,0.9
in-aff3b59d34df3979,,make decisions,Soft,N/A,0.608,Medium,LLM,0.8,0.9
in-083ac975933f3cb9,,drive customer experience strategy,Soft,N/A,0.64,Medium,LLM,0.83,0.9
in-083ac975933f3cb9,,innovate consistently,Soft,N/A,0.571,Medium Low,BERT+LLM,0.9,0.9
in-083ac975933f3cb9,,solve problems,Soft,N/A,0.635,Medium,LLM,0.8,0.9
in-083ac975933f3cb9,,problem -solving.,Hard,Apply,0.453,Low,BERT (standalone),0.84,0.81
in-9f46d4765e1e5db4,,build reputation,Soft,N/A,0.639,Medium,LLM,0.83,0.9
in-879b2fe47e1fbc66,,optimize clinical workflows,Hard,Evaluate,1.0,Very High,BERT+LLM,0.85,1.23
in-879b2fe47e1fbc66,,supervise staff,Soft,N/A,0.673,Medium,LLM,0.81,0.95
in-879b2fe47e1fbc66,,mentor staff,Soft,N/A,0.666,Medium,LLM,0.77,0.95
in-879b2fe47e1fbc66,,evaluate staff,Soft,N/A,0.671,Medium,LLM,0.8,0.95
in-879b2fe47e1fbc66,,ensure high performance,Hard,Analyze,0.66,Medium,BERT (standalone),0.81,0.85
in-879b2fe47e1fbc66,,professional growth.,Hard,Apply,0.51,Medium Low,BERT (standalone),0.89,0.85
in-66b97dc6ae697ac9,,ensure secure access management,Hard,Analyze,0.721,Medium High,LLM,0.81,0.96
in-66b97dc6ae697ac9,,ensure compliant access management,Hard,Analyze,0.725,Medium High,LLM,0.83,0.96
in-66b97dc6ae697ac9,,ensure auditable access management,Hard,Analyze,1.0,Very High,BERT+LLM,0.84,1.24
in-66b97dc6ae697ac9,,ensuring secure,Hard,Apply,0.512,Medium Low,BERT (standalone),0.81,0.87
in-66b97dc6ae697ac9,,compliant,Hard,Apply,0.519,Medium Low,BERT (standalone),0.87,0.87
in-5986e2e416ec3ef2,,drive architectural standards,Hard,Create,1.0,Very High,BERT+LLM,0.88,1.22
in-5986e2e416ec3ef2,,drive architectural processes,Hard,Create,0.642,Medium,LLM,0.87,0.96
in-5986e2e416ec3ef2,,drive architectural activities,Hard,Create,0.644,Medium,LLM,0.88,0.96
in-5986e2e416ec3ef2,,processes,Hard,Apply,0.518,Medium Low,BERT (standalone),0.87,0.86
in-5986e2e416ec3ef2,,activities.,Hard,Apply,0.521,Medium Low,BERT (standalone),0.9,0.86
in-76bdc299da84b00b,,understand customers,Soft,N/A,0.647,Medium,LLM,0.89,0.9
in-dcd8dd1044f2926f,,support proactive approach to managing stormwater systems,Soft,N/A,0.656,Medium,LLM,0.82,0.92
in-dcd8dd1044f2926f,,support integrated approach to managing stormwater systems,Hard,Create,0.863,High,BERT+LLM,0.84,1.16
in-dcd8dd1044f2926f,,collaborate with internal departments,Soft,N/A,0.661,Medium,LLM,0.86,0.92
in-dcd8dd1044f2926f,,collaborate with external agencies,Soft,N/A,0.658,Medium,LLM,0.83,0.92
in-dcd8dd1044f2926f,,collaborate with the public,Soft,N/A,0.65,Medium,LLM,0.78,0.92
in-dcd8dd1044f2926f,,implement best practices in stormwater management,Hard,Apply,0.663,Medium,LLM,0.82,0.92
in-dcd8dd1044f2926f,,implement best practices in watershed planning,Hard,Create,0.61,Medium,LLM,0.81,0.92
in-dcd8dd1044f2926f,,proactive,Soft,N/A,0.618,Medium,BERT (standalone),0.87,0.83
in-dcd8dd1044f2926f,,integrated,Hard,Create,0.379,Very Low,BERT (standalone),0.9,0.83
in-dcd8dd1044f2926f,,implement best practices in,Hard,Apply,0.604,Medium,BERT (standalone),0.78,0.83
in-04d821a61bf4f3f8,,design cloud environments,Hard,Create,0.677,Medium,LLM,0.83,0.9
in-04d821a61bf4f3f8,,build cloud environments,Hard,Create,0.675,Medium,LLM,0.82,0.9
in-04d821a61bf4f3f8,,operate cloud environments,Hard,Evaluate,0.598,Medium Low,LLM,0.84,0.9
in-04d821a61bf4f3f8,,secure cloud environments,Hard,Apply,0.571,Medium Low,LLM,0.83,0.9
in-6434f75ccfa896cd,,report to manager,Soft,N/A,0.639,Medium,LLM,0.75,0.95
in-6434f75ccfa896cd,,work closely with stakeholders,Soft,N/A,0.785,Medium High,BERT+LLM,0.8,1.24
in-6434f75ccfa896cd,,work closely with stream leads,Soft,N/A,0.669,Medium,LLM,0.76,0.95
in-6434f75ccfa896cd,,work closely with IT teams,Soft,N/A,0.694,Medium,LLM,0.73,0.95
