gold_id,job_id,knowledge,confidence_score,confidence_tier,source,is_overlap,is_correct,labeler_id,notes
gk_c71a3faea47d,in-c621a1b38d815259,Cyber Assurance,0.75,Medium High,LLM,True,,,
gk_f8b4c266335e,in-2d603bfc2b84d854,multi-GPU training,0.75,Medium High,LLM,False,,,
gk_5a60300acf3f,in-5bb3b900ca943f6e,strategic decision-making,0.75,Medium High,LLM,False,,,
gk_eb5504ae1b63,in-7f6f6106b7ad9b74,system design,0.75,Medium High,LLM,False,,,
gk_5566da36b96d,in-00b6e24ba74f5f55,Analytics,0.75,Medium High,LLM,True,,,
gk_cf87224b87c1,in-b279c900a55222c2,Aerospike Real-time Data Platform,0.76,Medium High,BERT+LLM,False,,,
gk_0c0ad70b2686,in-4b1eb891426139d1,RAG,0.849,High,BERT+LLM,False,,,
gk_80fee8b1a59e,in-fcb73ba122d2cee7,marketing initiatives,0.75,Medium High,LLM,False,,,
gk_4ce55de600c7,in-74f57a7d8a301377,Data Storage,0.851,High,BERT+LLM,False,,,
gk_a2553dcdf835,in-4d80d51ffa972a83,Trade Screening,0.85,High,BERT+LLM,True,,,
gk_dfc1a5557b47,in-c8d6d407de7c2c1a,statistical models,0.851,High,BERT+LLM,True,,,
gk_d80c1d3792a2,in-2ad0acb1669d8377,Schedule Reconciliations).,0.466,Low,BERT (standalone),False,,,
gk_fdc3d6c7fb22,in-32b061902e0216bd,air,0.563,Medium Low,BERT+LLM,True,,,
gk_2f499fc4c248,in-e0d4f0620354c0ab,retail software industry,0.486,Low,BERT (standalone),False,,,
gk_1b4ef63f32c3,in-2d603bfc2b84d854,regulatory trends,0.75,Medium High,LLM,False,,,
gk_b19ba11cbdb3,in-f4c6dcb0104bf828,SaaS platforms,0.848,High,BERT+LLM,True,,,
gk_eb7688a4efee,in-f9fad81782f9e356,"CD,",0.542,Medium Low,BERT (standalone),False,,,
gk_ad335c712375,in-59f89f855608fde0,Glue,0.75,Medium High,LLM,False,,,
gk_0d731011dbe6,in-66e2f2f3d3633e25,CI automations,0.832,High,BERT+LLM,True,,,
gk_6a5e4b056595,in-7ed40d80ae62c22c,Build,0.481,Low,BERT (standalone),False,,,
gk_fca6554f34dd,in-50cd9f94fb5151b1,Microsoft .NET,0.75,Medium High,LLM,False,,,
gk_063c567de3d6,in-f4d30ac2ed1bed4e,Business IT,0.547,Medium Low,BERT (standalone),False,,,
gk_50fcb525a16b,in-afe16e952954ef1f,data mining,0.832,High,BERT+LLM,True,,,
gk_3208fdcee67d,in-c8b4987c770c7279,Python,0.773,Medium High,BERT+LLM,False,,,
gk_46d94e1cdf0b,in-d9777329f5813be2,technical project delivery,0.75,Medium High,LLM,False,,,
gk_2d2aaabada6e,in-9cc1fc88ccf5cf34,Keras,0.848,High,BERT+LLM,False,,,
gk_237b1c024e83,in-722858fa27d70477,reserving,0.712,Medium High,BERT+LLM,True,,,
gk_cd4e5c6dbabc,in-1e9b715a37b889ab,sound design,0.75,Medium High,LLM,False,,,
gk_84e50db4b72d,in-7423e70fc8e4c7d1,Angular,0.844,High,BERT+LLM,False,,,
gk_e24fec68db5b,in-868c650ce29013f9,"recruitment,",0.532,Medium Low,BERT (standalone),False,,,
gk_91329d320c7f,in-7b9386684dd8a3e3,banking,0.85,High,BERT+LLM,True,,,
gk_8fa37d414964,in-a155cba4b0635237,Bachelor’s degree,0.555,Medium Low,BERT (standalone),True,,,
gk_415feb31fa9f,in-cb9773a140443f81,quantum control infrastructure software,0.75,Medium High,LLM,False,,,
gk_fa64ac136c51,in-988bc453a2bad628,analytics,0.844,High,BERT+LLM,True,,,
gk_4c1493441693,in-726417b847d26566,scrum,0.75,Medium High,LLM,False,,,
gk_d53bd42a2a01,in-00da6b68373c3343,Data Science,0.845,High,BERT+LLM,False,,,
gk_c91c3b2a7f30,in-d8642547da129fa7,technical management,0.75,Medium High,LLM,False,,,
gk_7400756c410c,in-b2e3f60666853a73,operational excellence,0.75,Medium High,LLM,False,,,
gk_7588ef20579d,in-09b1ff68281ab218,email,0.664,Medium,BERT+LLM,False,,,
gk_b8a67b2595a6,in-ed389b13459a66ed,media processing,0.846,High,BERT+LLM,True,,,
gk_f68ed31bd445,in-d7eb5b2a754ec1ba,API,0.75,Medium High,LLM,True,,,
gk_f48f15426ab9,in-0a806b7018cb9b58,dispatch service,0.655,Medium,BERT+LLM,False,,,
gk_fdc5483db93b,in-d0f29ba5682514a8,Business Administration,0.833,High,BERT+LLM,True,,,
gk_4c939e4a0c83,in-977cc68b23fca00d,casual games,0.75,Medium High,LLM,False,,,
gk_08b086cdc2c0,in-f9abf9434c1082da,Xero,0.75,Medium High,LLM,True,,,
gk_059337e729d3,in-71e3a1925dad9e3d,SOAP,0.848,High,BERT+LLM,True,,,
gk_44a09006db00,in-ffe72196b5fce2b0,BDD,0.852,High,BERT+LLM,False,,,
gk_af0985a9f1a6,in-115609607f34b825,Adobe,0.514,Medium Low,BERT (standalone),False,,,
gk_9b391c62928e,in-9b91583542850a6f,scalable data solutions,0.827,High,BERT+LLM,False,,,
gk_c1391b40863a,in-72ce1e36b19889aa,regional sports network,0.75,Medium High,LLM,False,,,
gk_1f7f247227b1,in-e006e7563f900a09,ISO 14044,0.75,Medium High,LLM,False,,,
gk_b21a10584744,in-7423e70fc8e4c7d1,databases,0.806,High,BERT+LLM,False,,,
gk_2db291881566,in-6542093c41876b6d,LLaMA,0.85,High,BERT+LLM,False,,,
gk_fa9e6385d130,in-98a73fab548e6eec,security principles,0.816,High,BERT+LLM,True,,,
gk_f77608d7b67c,in-001a5f7a1e04ac00,audio production,0.828,High,BERT+LLM,False,,,
gk_75b1b2196a02,in-4587115ecc9d59ad,Fiber,0.725,Medium High,BERT+LLM,True,,,
gk_1660420c2e67,in-c8db1b653c7e83d5,Excel,0.829,High,BERT+LLM,False,,,
gk_738e21af2ae3,in-0a2cd8d2cf06658d,Canadian insurance,0.75,Medium High,LLM,False,,,
gk_3b64a4eb27ab,in-3f52a749b5f4c201,sales,0.813,High,BERT+LLM,False,,,
gk_f74508507173,in-e08ef62755b0f504,Operations,0.75,Medium High,LLM,False,,,
