job_id,skill,type,bloom,confidence_score,confidence_tier,verification_level,is_verified,semantic_density,context_agreement,source,source_file,review_id,human_valid,human_type,human_bloom,human_notes,reviewer_id,job_text
in-106499859ad2042d,optimize performance,Hard,Evaluate,1.0,Very High,Verified_HIGH,True,0.89,1.23,BERT+LLM,verified_skills.csv,skill_eebc9d7a114b,,,,,,"We’re looking for a Senior Software Developer to join our Data Platform team.
In this position, you will be instrumental in the design, development, and upkeep of our big data framework.
You will get the opportunity to work closely with a variety of internal teams to implement scalable and efficient data processing solutions, while ensuring the availability and reliability of our data pipelines.
This is an exciting opportunity to contribute to the progress of our data platform and analytics capa"
in-7938749a10432513,react quickly to breaking news,Hard,Apply,0.952,Very High,Verified_HIGH,True,0.76,1.24,BERT+LLM,verified_skills.csv,skill_c967bb0a96d4,,,,,,"California, here we come! As part of this bold expansion into Los Angeles, we are looking for a Photo Editor to join the California Post team.
The Photo Editor will react quickly to breaking news, source compelling imagery, and collaborate closely with editors and reporters to ensure our coverage is visually engaging, accurate, and timely.
Responsibilities: Source, edit, and publish imagery for breaking news, features, politics, sports, and entertainment coverage. React in real time to live brea"
in-aa0434c55817bfed,interpret key e-commerce content metrics,Hard,Understand,1.0,Very High,Verified_HIGH,True,0.8,1.28,BERT+LLM,verified_skills.csv,skill_ee46c42c1259,,,,,,"Global Operations Governance Strategy Manager, Creator & Content, TikTok Shop, EMEA Location : London Employment Type : Regular Job Code : A196236 Responsibilities Team Introduction The e -commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated.
With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e -commerce exp"
in-997c4ba0537b73fd,support engineering applications for proposal generation,Hard,Create,1.0,Very High,Verified_HIGH,True,0.86,1.26,BERT+LLM,verified_skills.csv,skill_76282f4585f5,,,,,,"Be a part of the Future of Sustainable Water Solutions with Newterra!
At Newterra, we’re not just engineering solutions—we’re redefining how industries manage water and wastewater sustainably.
Every project we take on is a step toward a cleaner, greener planet, and our design team plays a vital role in making this vision a reality.
That's why we’re looking for a Project Engineer to join our mission.
This isn’t just a job.
It’s an opportunity to contribute to critical water treatment systems that"
in-8d24497040ab426e,assist in manuscript preparation,Hard,Apply,1.0,Very High,Verified_HIGH,True,0.83,1.28,BERT+LLM,verified_skills.csv,skill_9b42512c0cde,,,,,,"### Job Summary The Biostatistics Core at Geisinger collaborates closely with researchers across the health system, providing comprehensive support throughout all stages of the research process—from proposal development to data analysis and interpretation.
Core members offer expertise in: • Refining research questions and hypotheses • Designing studies and selecting variables • Estimating sample size and statistical power • Developing analysis plans • Designing data collection methods and random"
in-1ac868a617911607,adjust bidding strategies,Hard,Evaluate,0.932,Very High,Verified_HIGH,True,0.83,1.2,BERT+LLM,verified_skills.csv,skill_6c4218b42851,,,,,,"It is a national, high -velocity, high -intent account with real complexity.
We already have a full internal audit and an initial optimisation roadmap.
Your role is to validate it, refine it, and co -execute its implementation with our internal PPC manager.
This is a strategic + hands -on hybrid role — the goal is to produce tangible improvements within one month with weekly deliverables. Key Responsibilities (Month Scope) 1 .
Strategic Validation & Re -Prioritisation Review our full internal au"
in-56d2b04ae7e823c0,forge successful partnerships,Soft,,0.803,High,Verified_HIGH,True,0.84,1.26,BERT+LLM,verified_skills.csv,skill_abced4c17635,,,,,,"The Vacancy What it’s like to work at Energia Group We’re proud that 87% of our employees would recommend us as a great place to work.
Energia Group seeks to appoint an experienced Data Scientist to join our growing Group Data Office, reporting to the Head of Data & Analytics.
You will work closely with your colleagues in our Group Data Office within Technology & Innovation (T &I), and with senior managers and teams across our businesses to identify, prioritise, plan, and execute on opportunitie"
in-9b1cf54a8ad95099,anticipate emerging threats,Hard,Apply,0.937,Very High,Verified_HIGH,True,0.81,1.2,BERT+LLM,verified_skills.csv,skill_5587322ec3c5,,,,,,"Summary ----------- Salary: Competitive Team: Information Technology Location: Singapore - Technology Centre About us At Dyson, we are not just creating innovative, technology -enabled products; we are also breaking new ground in cybersecurity.
Our products are becoming more advanced and interconnected, which means we face a constantly evolving cyber threat landscape.
This requires a highly skilled candidate to join our team, with a passion for staying ahead of emerging threats and keeping our p"
in-db44f245307a0fcc,respond to cyber threats,Hard,Apply,0.961,Very High,Verified_HIGH,True,0.77,1.23,BERT+LLM,verified_skills.csv,skill_47f3c32b1589,,,,,,"Work Location: Toronto, Ontario, Canada Hours: 37 .5 Line of Business: Technology Solutions Pay Details: $96,900 - $136,800 CAD TD is committed to providing fair and equitable compensation opportunities to all colleagues.
As a candidate, you are encouraged to ask compensation related questions and have an open dialogue with your recruiter who can provide you more specific details for this role. Job Description: + As an Information Security Specialist, you will play a critical role in detecting, "
in-8f7deb7d911e2a14,conduct unit tests,Hard,Evaluate,1.0,Very High,Verified_HIGH,True,0.78,1.23,BERT+LLM,verified_skills.csv,skill_7489d6fc2d5f,,,,,,"Must haves: 5 + years experience in designing, developing, and maintaining complex, mission -critical mainframe applications in the COBOL language against an IMS DB/DC Demonstrated experience developing system integration frameworks Strong experience designing and implementing data migration initiative Nice to have: Experience in implementing system to system integration (through APIs, web services) involving mainframe applications Demonstrated Experience leading data integration and migration i"
