job_id,date_posted,knowledge,confidence_score,confidence_tier,source
in-b91dc4f379ed04ae,,Databricks,0.75,Medium High,GPT
in-b91dc4f379ed04ae,,ELT processes,0.785,Medium High,BERT+GPT
in-b91dc4f379ed04ae,,data ingestion pipelines,0.736,Medium High,BERT+GPT
in-b91dc4f379ed04ae,,InnoForge,0.75,Medium High,GPT
in-b91dc4f379ed04ae,,data governance,0.75,Medium High,GPT
in-fbc312fde20b3d37,,Ministerials,0.846,High,BERT+GPT
in-fbc312fde20b3d37,,briefings,0.818,High,BERT+GPT
in-fbc312fde20b3d37,,complex correspondence,0.825,High,BERT+GPT
in-fbc312fde20b3d37,,program performance reporting,0.832,High,BERT+GPT
in-9cc5157063ea4782,,Sailpoint IAM,0.75,Medium High,GPT
in-9cc5157063ea4782,,Sailpoint,0.403,Low,BERT (standalone)
in-9b8da8e0b59f7701,,hardware,0.75,Medium High,GPT
in-9b8da8e0b59f7701,,software,0.75,Medium High,GPT
in-9b8da8e0b59f7701,,managed services,0.75,Medium High,GPT
in-37d602d7beadc125,,multimodal language models,0.628,Medium,BERT+GPT
in-37d602d7beadc125,,audio,0.846,High,BERT+GPT
in-37d602d7beadc125,,vision,0.639,Medium,BERT+GPT
in-e3dc55a2d51c8f05,,"feature development,",0.499,Low,BERT (standalone)
in-e3dc55a2d51c8f05,,"integrations,",0.553,Medium Low,BERT (standalone)
in-781ed77869d79a11,,automotive,0.75,Medium High,GPT
in-781ed77869d79a11,,aerospace,0.75,Medium High,GPT
in-781ed77869d79a11,,energy,0.75,Medium High,GPT
in-781ed77869d79a11,,transport,0.75,Medium High,GPT
in-781ed77869d79a11,,industrial manufacturing,0.75,Medium High,GPT
in-6fd5254d3529565c,,Web analysis application,0.793,Medium High,BERT+GPT
in-6fd5254d3529565c,,Agile,0.851,High,BERT+GPT
in-6fd5254d3529565c,,Scrum,0.815,High,BERT+GPT
in-6fd5254d3529565c,,software development life cycle,0.845,High,BERT+GPT
in-6fd5254d3529565c,,best practice,0.785,Medium High,BERT+GPT
in-6fd5254d3529565c,,coding,0.756,Medium High,BERT+GPT
in-6b3059eeeb93ef35,,Electrical Engineering,0.826,High,BERT+GPT
in-6b3059eeeb93ef35,,Amazon’s leadership principles,0.75,Medium High,GPT
in-f2412322351b3870,,market data,0.75,Medium High,GPT
in-f2412322351b3870,,geographic location,0.75,Medium High,GPT
in-f2412322351b3870,,industry,0.75,Medium High,GPT
in-b487c81a3e1668e8,,AI,0.75,Medium High,GPT
in-b487c81a3e1668e8,,AGI,0.75,Medium High,GPT
in-1d5dfc4af4678864,,sports,0.75,Medium High,GPT
in-1d5dfc4af4678864,,entertainment,0.75,Medium High,GPT
in-1d5dfc4af4678864,,recreational products,0.75,Medium High,GPT
in-49692a7e0b9ffaf0,,rail market,0.75,Medium High,GPT
in-49692a7e0b9ffaf0,,rail improvement projects,0.75,Medium High,GPT
in-49692a7e0b9ffaf0,,community rail enhancement,0.75,Medium High,GPT
in-49692a7e0b9ffaf0,,rail renewal projects,0.75,Medium High,GPT
in-26690ce23c3fecfb,,CAD software,0.847,High,BERT+GPT
in-26690ce23c3fecfb,,AutoCAD,0.75,Medium High,GPT
in-26690ce23c3fecfb,,Council standards,0.75,Medium High,GPT
in-26690ce23c3fecfb,,regulatory requirements,0.75,Medium High,GPT
in-26690ce23c3fecfb,,Workstation assessments,0.732,Medium High,BERT+GPT
in-26690ce23c3fecfb,,flu vaccines,0.7,Medium High,BERT+GPT
in-26690ce23c3fecfb,,EAP services,0.84,High,BERT+GPT
in-26690ce23c3fecfb,,New,0.537,Medium Low,BERT (standalone)
in-26690ce23c3fecfb,,Zealand Diploma in,0.5,Low,BERT (standalone)
in-26690ce23c3fecfb,,Engineering (Civil),0.426,Low,BERT (standalone)
in-26690ce23c3fecfb,,free,0.287,Very Low,BERT (standalone)
in-066de3619c7a72d9,,feature film,0.75,Medium High,GPT
in-066de3619c7a72d9,,visual effects,0.75,Medium High,GPT
in-066de3619c7a72d9,,theme park,0.75,Medium High,GPT
in-066de3619c7a72d9,,video game,0.75,Medium High,GPT
in-6879dcb56d9630f9,,ClickHouse Cloud Platform,0.75,Medium High,GPT
in-6879dcb56d9630f9,,data workloads,0.75,Medium High,GPT
in-918af191ba357cba,,Python,0.851,High,BERT+GPT
in-918af191ba357cba,,ArcGIS Online,0.761,Medium High,BERT+GPT
in-918af191ba357cba,,spatial data formats,0.823,High,BERT+GPT
in-918af191ba357cba,,GIS,0.724,Medium High,BERT+GPT
in-918af191ba357cba,,"data management, analysis,",0.512,Medium Low,BERT (standalone)
in-918af191ba357cba,,"mapping,",0.348,Very Low,BERT (standalone)
in-df4d84cbf0525bc4,,sustainability,0.75,Medium High,GPT
in-df4d84cbf0525bc4,,integrated reporting,0.75,Medium High,GPT
in-df4d84cbf0525bc4,,"environmental, social and governance elements (ESG)",0.75,Medium High,GPT
in-f672583bbb606ba0,,test validation,0.715,Medium High,BERT+GPT
in-f672583bbb606ba0,,Reliability statistics,0.828,High,BERT+GPT
in-f672583bbb606ba0,,Reliability tests,0.727,Medium High,BERT+GPT
in-f672583bbb606ba0,,computer systems,0.85,High,BERT+GPT
in-f672583bbb606ba0,,design,0.628,Medium,BERT+GPT
in-f672583bbb606ba0,,Reliability prediction,0.788,Medium High,BERT+GPT
in-2fcdcc0c5a3bed5e,,Electrical Engineering,0.843,High,BERT+GPT
in-2fcdcc0c5a3bed5e,,Applied Science,0.802,High,BERT+GPT
in-2fcdcc0c5a3bed5e,,Minerals and Metals industry,0.742,Medium High,BERT+GPT
in-2fcdcc0c5a3bed5e,,Surface and U/G Mining,0.75,Medium High,GPT
in-2fcdcc0c5a3bed5e,,shaft sinking,0.848,High,BERT+GPT
in-2fcdcc0c5a3bed5e,,subsurface utilities,0.832,High,BERT+GPT
in-2fcdcc0c5a3bed5e,,University graduate,0.545,Medium Low,BERT (standalone)
in-2fcdcc0c5a3bed5e,,Minerals and,0.512,Medium Low,BERT (standalone)
in-2fcdcc0c5a3bed5e,,Surface and,0.437,Low,BERT (standalone)
in-2fcdcc0c5a3bed5e,,U,0.492,Low,BERT (standalone)
in-2fcdcc0c5a3bed5e,,/,0.349,Very Low,BERT (standalone)
in-2fcdcc0c5a3bed5e,,G Mining,0.478,Low,BERT (standalone)
in-f66fab6b91882463,,QA methodologies,0.75,Medium High,GPT
in-f66fab6b91882463,,QA tools,0.75,Medium High,GPT
in-f66fab6b91882463,,QA,0.313,Very Low,BERT (standalone)
in-cbd598c3d94aae3d,,Figma,0.85,High,BERT+GPT
in-cbd598c3d94aae3d,,design system principles,0.85,High,BERT+GPT
in-cbd598c3d94aae3d,,accessibility,0.847,High,BERT+GPT
in-cbd598c3d94aae3d,,usability,0.785,Medium High,BERT+GPT
in-cbd598c3d94aae3d,,responsive design best practices,0.834,High,BERT+GPT
in-cbd598c3d94aae3d,,user,0.336,Very Low,BERT (standalone)
in-cbd598c3d94aae3d,,UI,0.555,Medium Low,BERT (standalone)
in-d5cf3b5b16eaad27,,healthcare,0.739,Medium High,BERT+GPT
in-d5cf3b5b16eaad27,,Technical certification,0.676,Medium,BERT+GPT
in-068fab73d00568ea,,legal,0.839,High,BERT+GPT
in-068fab73d00568ea,,compliance,0.655,Medium,BERT+GPT
in-068fab73d00568ea,,risk management,0.848,High,BERT+GPT
