gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_correct,type_label,bloom_label,labeler_id,notes
gs_defe683f44c1,in-0b694e1cd2c10626,implement structure to help team grow,Soft,,0.698,Medium,LLM,0.76,0.96,,,,,
gs_a7d4ab2ec9ab,in-e956c1924be463b1,passionate,Hard,Apply,0.372,Very Low,BERT (standalone),0.9,0.81,,,,,
gs_c99573a165c8,in-00c0b91f9c9cb324,work on live projects,Hard,Apply,0.584,Medium Low,LLM,0.74,0.9,,,,,
gs_c324dab0e35b,in-952ed056daff6878,manage systems administration,Hard,Apply,0.696,Medium,LLM,0.87,0.96,,,,,
gs_31e0638daf0e,in-9c553ab14b3cb726,support solutions,Hard,Evaluate,0.707,Medium High,LLM,0.84,0.9,,,,,
gs_4d469f5dee37,in-6851b51d1fe7f507,communication skills,Soft,,0.479,Low,BERT (standalone),0.89,0.81,,,,,
gs_f78a7be9f564,in-f60c7c41c622d9ed,lead product engineering teams,Soft,,1.0,Very High,BERT+LLM,0.81,1.27,,,,,
gs_f64fc52d147f,in-9678e40f6333b1c2,stay current with Gen AI technologies,Hard,Analyze,0.614,Medium,LLM,0.76,0.9,,,,,
gs_70316d89021f,in-936aa3bfb9cd3391,test products,Hard,Evaluate,0.78,Medium High,LLM,0.78,1.0,,,,,
gs_fd59b4600f55,in-d5f9731897feb961,evaluate mechanical designs,Hard,Create,0.968,Very High,BERT+LLM,0.84,1.22,,,,,
gs_276493625db0,in-e35cdfbe5a9aab37,content,Hard,Apply,0.44,Low,BERT (standalone),0.81,0.81,,,,,
gs_3e04f26e526c,in-42ca6024244fc3e2,coordinate with Security partners,Soft,,0.674,Medium,LLM,0.83,0.95,,,,,
gs_9e6fb0247449,in-0cb1ebadc05ba17e,overseeing the daily operation,Hard,Apply,0.461,Low,BERT (standalone),0.8,0.81,,,,,
gs_1bde3a3d0d97,in-39419a137a900f40,work to be a little better every single day,Soft,,0.625,Medium,LLM,0.72,0.9,,,,,
gs_8b8885c5acb1,in-28a75def2ed995eb,media,Hard,Apply,0.477,Low,BERT (standalone),0.75,0.85,,,,,
gs_a4ef0fb00f7a,in-d7cf0de1e28b13bf,bring brand storytelling to life through trims,Soft,,0.494,Low,BERT+LLM,0.77,0.9,,,,,
gs_842ed91aa1fb,in-083ac975933f3cb9,innovate solutions,Soft,,0.568,Medium Low,BERT+LLM,0.88,0.9,,,,,
gs_e0dc2f1522cc,in-2ea46d88545e7e84,document approvals,Hard,Apply,0.727,Medium High,LLM,0.86,0.96,,,,,
gs_b996d096def0,in-f77d6b9106e6b71d,design software solutions,Hard,Create,0.706,Medium High,LLM,0.83,0.9,,,,,
gs_8fde78ddd611,in-2284d87b510f9e95,texture a wide range of assets: environments,Hard,Apply,0.481,Low,BERT (standalone),0.76,0.84,,,,,
gs_15d8f57b88e2,in-1f7c05e642b1bc5e,lead benefits management processes,Soft,,1.0,Very High,BERT+LLM,0.83,1.26,,,,,
gs_825a1d105833,in-4b1edd907cd422ed,enhancing,Hard,Apply,0.412,Low,BERT (standalone),0.87,0.81,,,,,
gs_1daa7cc2c00c,in-18d58b2611b20352,gather the requirements,Hard,Apply,0.489,Low,BERT (standalone),0.81,0.86,,,,,
gs_ed46c03f7b14,in-47bddc635a9827bc,manage multiple applications,Hard,Apply,0.857,High,LLM,0.86,1.18,,,,,
gs_25795f320423,in-4f4c7c65d5d697a1,manage a seamless flow of stock,Hard,Apply,0.615,Medium,BERT (standalone),0.73,0.81,,,,,
gs_8cc1d65247b4,in-6a11f6623b90c10e,communication skills.,Soft,,0.591,Medium Low,BERT (standalone),0.9,0.84,,,,,
gs_9da48435a4b1,in-0b1202bf3556f0ec,use MS Project/Asta,Hard,Apply,0.735,Medium High,LLM,0.77,0.95,,,,,
gs_8caac7c05f6f,in-002382e99b8a2bc3,deliver long-term change,Soft,,0.639,Medium,LLM,0.82,0.9,,,,,
gs_7ebe68dacc78,in-58c9ce9d30cd562c,transform complex educational data into actionable insights,Hard,Apply,1.0,Very High,BERT+LLM,0.83,1.43,,,,,
gs_8cfacd5d2684,in-d4720b5ef65c8d9c,improve software development methodologies,Soft,,1.0,Very High,BERT+LLM,0.86,1.22,,,,,
gs_cebcde9f87e2,in-7433c244aa75bf36,fulfill legal notification responsibilities,Hard,Apply,1.0,Very High,BERT+LLM,0.89,1.31,,,,,
gs_77eb0180093c,in-290c255a99e5d600,rationalise management reporting,Soft,,0.632,Medium,LLM,0.9,0.92,,,,,
gs_218091465375,in-4322e57078beae99,lift and carry light objects,Soft,,0.655,Medium,LLM,0.74,0.94,,,,,
gs_f88029d29da0,in-cd349d1d935d2e5e,ensure data is stored accurately,Hard,Evaluate,0.987,Very High,BERT+LLM,0.77,1.25,,,,,
gs_63897a4bcda0,in-66e35ec4c60e8c65,maintain attention to detail,Soft,,0.883,High,BERT+LLM,0.8,1.3,,,,,
gs_2dfe099845e0,in-cbc4fc39eb5961f3,supervise your team,Soft,,0.765,Medium High,BERT (standalone),0.77,0.93,,,,,
gs_7f7d829a569a,in-8699887301c27787,adjust focus working with computer and business equipment,Hard,Apply,0.621,Medium,LLM,0.79,0.94,,,,,
gs_d15264b86524,in-4277fb6e6587a9f5,rank AI-generated meta content,Hard,Create,0.619,Medium,LLM,0.8,0.94,,,,,
gs_d244919a68d6,in-765dbbb271494469,engage with stakeholders in requirements analysis,Soft,,0.639,Medium,LLM,0.82,0.9,,,,,
gs_625dc8f58cd6,in-a373fc39bc0337f9,architects,Hard,Create,0.599,Medium Low,BERT (standalone),0.9,0.94,,,,,
gs_3fcd7b4d884e,in-461835a3a8ec7f39,problem,Hard,Apply,0.447,Low,BERT (standalone),0.81,0.84,,,,,
gs_acf3b5ca6cbe,in-d0357ccf3b02df8f,ensure seamless data availability,Hard,Analyze,1.0,Very High,BERT+LLM,0.83,1.31,,,,,
gs_703e0d3e501d,in-0c8aa4fe6af5842e,maintain cybersecurity risk register,Hard,Analyze,1.0,Very High,BERT+LLM,0.83,1.43,,,,,
gs_9faf3477c99b,in-63e344bbe4a1832c,bring technical leadership,Soft,,0.723,Medium High,BERT+LLM,0.86,1.24,,,,,
gs_a1e2763cca0f,in-c57785c92cb515c2,provide constructive feedback,Soft,,0.645,Medium,LLM,0.87,0.9,,,,,
gs_2d0e8ce12291,in-65d35c9f4149fa31,ensure alignment on quality standards for,Hard,Analyze,0.668,Medium,BERT (standalone),0.78,0.88,,,,,
gs_4b39e6fb919b,in-48d18e48648d60a1,deliver value to data consumers,Soft,,0.672,Medium,LLM,0.76,0.96,,,,,
gs_8a036799381d,in-f5623e04e238736a,analytical,Hard,Apply,0.484,Low,BERT (standalone),0.9,0.81,,,,,
gs_5c51d6147aa0,in-3ce2d2a445b01e20,build operational maturity.,Hard,Create,0.736,Medium High,BERT (standalone),0.85,0.94,,,,,
gs_6394f2afe130,in-1e75206c2a0eb98c,achieve objectives,Soft,,0.681,Medium,LLM,0.86,0.95,,,,,
gs_64c70b7528b6,in-b5671fff822622cc,sustaining,Hard,Apply,0.51,Medium Low,BERT (standalone),0.9,0.85,,,,,
gs_736dc6539e80,in-49099bdcf0fb6b25,self,Hard,Apply,0.488,Low,BERT (standalone),0.72,0.84,,,,,
gs_892b2b3b65be,in-688c9596567360d1,inform vault strategies,Hard,Evaluate,0.541,Medium Low,BERT (standalone),0.81,0.85,,,,,
gs_dc0be7c9217c,in-51af8283fd6b4c67,work in a dynamic team,Soft,,0.679,Medium,LLM,0.71,0.94,,,,,
gs_93b9abda78a1,in-9678e40f6333b1c2,stay current with prompt techniques,Hard,Apply,0.59,Medium Low,LLM,0.79,0.9,,,,,
gs_c124f34495c6,in-4322e57078beae99,using a mouse for extended periods.,Hard,Apply,0.429,Low,BERT (standalone),0.75,0.84,,,,,
gs_a43235a76d13,in-dd95fcf9d4cc072d,solve complex challenges,Soft,,0.94,Very High,BERT+LLM,0.82,1.42,,,,,
gs_26e760c0304e,in-caa3de89697248cc,techniques.,Hard,Apply,0.5,Medium Low,BERT (standalone),0.9,0.85,,,,,
gs_e8ab89f461bf,in-e03357f052aa5454,create data collection tools,Hard,Create,0.699,Medium,LLM,0.79,0.94,,,,,
gs_7515aeb6886b,in-cd4536bf094c8252,collaborate with industrial designers,Soft,,0.884,High,BERT+LLM,0.85,1.29,,,,,
gs_7e6c0e48af5b,in-07327cecfc3dbffe,complete site programs,Hard,Create,0.935,Very High,BERT+LLM,0.77,1.18,,,,,
gs_c91708642b38,in-ce50f5b7ca7b3e6c,Identify,Hard,Analyze,0.687,Medium,BERT (standalone),0.84,0.89,,,,,
gs_4f4c37c7ff4a,in-e8b799e2ebe68209,conduct post-incident reviews,Hard,Evaluate,1.0,Very High,BERT+LLM,0.84,1.36,,,,,
gs_229894d1b973,in-6727fdf72c571305,streamline internal communications,Soft,,0.706,Medium High,LLM,0.9,0.9,,,,,
gs_1c52cd83ec90,in-448e625116919c52,represent capabilities,Soft,,0.621,Medium,LLM,0.9,0.9,,,,,
gs_965aacfe3708,in-fdb767bd9c1ff1b1,drive alignment in a complex corporate environment,Soft,,0.816,High,LLM,0.79,1.16,,,,,
gs_64d58a3af21b,in-59f89f855608fde0,create new capabilities,Hard,Create,0.779,Medium High,LLM,0.81,1.0,,,,,
gs_f85650c7fde5,in-57793e22513bd508,move customers from Process Orchestration (PO) to SAP Integration Suite,Hard,Apply,0.566,Medium Low,LLM,0.79,0.9,,,,,
gs_58aedc31b5d8,in-19e9ead015fac709,ensure performance optimization,Hard,Analyze,0.855,High,BERT+LLM,0.9,0.97,,,,,
gs_7705bbf0c85c,in-d7f955d1258c78ff,engineering,Hard,Create,0.537,Medium Low,BERT (standalone),0.9,0.88,,,,,
gs_a5f525c4d765,in-9bf4d6d9ee1e4a14,maximize efficiency of sourcing function,Soft,,0.657,Medium,LLM,0.82,0.93,,,,,
gs_1515517e8397,in-08b13571c4196e80,support day to day operations,Hard,Evaluate,0.677,Medium,LLM,0.63,0.9,,,,,
gs_91fac736e3d3,in-1917388edcf60f23,drive vision,Soft,,0.631,Medium,LLM,0.77,0.9,,,,,
gs_518647380bbf,in-fdb767bd9c1ff1b1,organization,Hard,Apply,0.43,Low,BERT (standalone),0.9,0.83,,,,,
gs_105d4a6eaab3,in-6235657510a0ff3f,guide junior staff,Soft,,0.605,Medium,BERT+LLM,0.75,0.98,,,,,
gs_39d1c7cc853f,in-c45465e4d18c15b3,resolve issues,Hard,Apply,0.543,Medium Low,BERT (standalone),0.8,0.89,,,,,
gs_64ccd72e7fde,in-59102c073373b270,independently.,Hard,Apply,0.491,Low,BERT (standalone),0.9,0.84,,,,,
gs_e0c86c93396c,in-5211c83d2e8587c2,visualization workflows,Hard,Apply,0.494,Low,BERT (standalone),0.9,0.82,,,,,
gs_0b7c697d45ef,in-07a9c2a299829676,looking up information).,Hard,Apply,0.516,Medium Low,BERT (standalone),0.82,0.87,,,,,
gs_6ad1f3aea624,in-a54cf9211ca3232d,enhance skills of people,Soft,,0.603,Medium,LLM,0.76,0.9,,,,,
gs_f0f1bae6cad8,in-aae5abb6df330d3f,link systems to business requirements,Hard,Apply,0.691,Medium,BERT+LLM,0.79,0.9,,,,,
gs_9b7b48a3d408,in-3c83145cde5da89f,develop visually compelling designs,Hard,Create,1.0,Very High,BERT+LLM,0.85,1.42,,,,,
gs_3836416e58e1,in-763e27dabb8eab92,recommend security initiatives,Soft,,0.715,Medium High,LLM,0.88,1.0,,,,,
gs_c8e0fc8868d5,in-00123850de967f24,enhance staff morale,Soft,,0.958,Very High,LLM,0.78,1.36,,,,,
gs_290e87080864,in-68c8bc8b4022b6bd,work with data,Soft,,0.598,Medium Low,LLM,0.72,0.9,,,,,
gs_324c631b1b30,in-4c2b883ece2f8008,ensure code quality through linting tools,Hard,Analyze,0.699,Medium,LLM,0.78,0.9,,,,,
gs_571ef43e92c1,in-80759602520c230d,Oversee programs for technical competency,Hard,Create,0.567,Medium Low,BERT (standalone),0.82,0.89,,,,,
gs_56c5397be135,in-c57785c92cb515c2,share ideas,Soft,,0.629,Medium,LLM,0.75,0.9,,,,,
gs_259d11f87911,in-2f43fa6cbbb72894,tell stories,Soft,,0.631,Medium,LLM,0.77,0.9,,,,,
gs_e4fe7b8cae99,in-5211c83d2e8587c2,Develop,Hard,Create,0.639,Medium,BERT (standalone),0.81,0.82,,,,,
gs_782cc710c064,in-712828cffdaa826c,other software,Hard,Apply,0.509,Medium Low,BERT (standalone),0.8,0.89,,,,,
gs_e50bb5e34470,in-16834b5f859de2c0,build effective relationships with stakeholders,Soft,,1.0,Very High,BERT+LLM,0.87,1.3,,,,,
gs_d3d0b5c14272,in-ac8c361a6ef78bcf,guide decisions,Hard,Apply,0.517,Medium Low,BERT (standalone),0.81,0.88,,,,,
gs_5210a6195dea,in-91f2b7a5bc51b432,manage Wilder Communities workstreams,Soft,,0.615,Medium,LLM,0.86,0.9,,,,,
gs_b4446d314723,in-900c990422c9c183,willing,Hard,Apply,0.389,Very Low,BERT (standalone),0.81,0.81,,,,,
gs_d9dd2c93dce3,in-27ccf4517a650c6d,perform business analysis work,Hard,Apply,0.702,Medium High,LLM,0.8,0.9,,,,,
gs_721b9d18a1f0,in-e8e6926b64d2b259,tune server performance,Hard,Evaluate,0.741,Medium High,LLM,0.81,0.99,,,,,
gs_0c898b396283,in-a55c33244443944b,manage Microsoft Entra ID,Hard,Apply,0.678,Medium,LLM,0.77,0.96,,,,,
