job_id,raw_text,final_skills,final_skills_count,final_knowledge,final_knowledge_count,final_hard_skills,final_soft_skills,final_bloom_distribution,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,missing_components_count,model_agreement_score,final_avg_confidence,avg_semantic_density,avg_context_agreement
in-caa00c16552bee6c,"About Us: Zensurance is redefining commercial insurance for Canadian businesses.
As a leading InsurTech, we make getting the right coverage simple, fast, and accessible through a digital -first experience.
Our platform combines advanced technology with deep industry expertise to deliver tailored insurance solutions that help businesses thrive.
Zensurance has been recognized for its rapid growth and industry impact: ✅ Deloitte’s Technology Fast 50 (2023, 2024, 2025 ) ✅Deloitte’s Technology Fast 5","[""drive reliability, scalability, and performance of production systems"", ""define best practices across infrastructure security, observability, release engineering, and developer tooling"", ""implement best practices across infrastructure security, observability, release engineering, and developer tooling"", ""assist the Engineering Leadership Team"", ""own our Incident Management process"", ""automate operational tasks"", ""coach lower-level professionals"", ""mentor lower-level professionals"", ""assist the Engineering Leadership Team in continuously improving craft capabilities"", ""solve complex challenges"", ""challenge the status quo"", ""make a real impact"", ""build something meaningful"", ""learn from each other"", ""solve it together"", ""experiment during hackathons"", ""push boundaries during hackathons"", ""build something awesome during hackathons"", ""deliver tailored insurance solutions"", ""use AI tools to prepare for interviews"", ""partner with the Engineering Department"", ""drive the reliability"", ""scalability"", ""performance of our production systems."", ""defining"", ""implementing best practices across"", ""meet department -level operational requirements."", ""assist the Engineering"", ""coach"", ""continuously improving craft capabilities.""]",30,"[""infrastructure security"", ""observability"", ""release engineering"", ""developer tooling"", ""Incident Management"", ""TypeScript"", ""NestJS"", ""microservices"", ""micro-frontends"", ""React"", ""InsurTech"", ""commercial insurance"", ""production systems"", ""operational requirements"", ""tech stack"", ""hackathons"", ""career growth tracks"", ""AI scribe"", ""micro""]",19,16,14,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 11, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 5, ""N/A"": 14}",0.3025733957632724,0.1083318579431199,0.2491778756736754,9,0.1479573845863342,0.6124600549632027,0.8179714285714286,0.9261130790850434
in-c4fe0f71375ca081,"Details ----------- ### Reference number 439441 ### Salary £30,105 - £30,105 A Civil Service Pension with an employer contribution of 28 .97% GBP ### Job grade Administrative Officer### Contract type Fixed term### Length of employment Fixed Term Appointment for 2 years### Business area FC - Forestry England### Type of role Other### Working pattern Flexible working, Full -time### Number of jobs available 1 Contents ------------ Location About the job Benefits Things you need to know Apply and fur","[""plan habitat restoration programmes"", ""manage delivery of restoration programmes"", ""support restoration officers"", ""drive in the UK"", ""make effective decisions"", ""manage a quality service"", ""deliver at pace"", ""work together"", ""write statements on experience"", ""plan"", ""manage the delivery""]",11,"[""Higher Level Stewardship (HLS) scheme"", ""heathlands"", ""grasslands"", ""woodlands"", ""wetlands"", ""sustainable management"", ""Special Areas of Conservation"", ""Special Protection Areas"", ""Ramsar sites"", ""Civil Service Pension"", ""Success Profiles""]",11,1,10,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 10}",0.0184014182341726,0.0,0.0184014182341726,18,0.4257044461038377,0.6952299037571293,0.7860909090909091,1.0701676833045644
in-310c4ccab20983db,"About Quantum Lifecycle Partners Quantum Lifecycle Partners LP is the leading and largest vertically integrated IT Asset Disposition & recycling processor in Canada.
Quantum is an equal opportunity employer.
We promote excellence through diversity and encourage all qualified persons to apply.
We thank you for your interest; however, only those selected for an interview will be contacted.
Quantum is also committed to providing accommodations for people with disabilities.
Accommodation may be prov",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-c9632511751e0991,"Who we are and what we offer: Interested in shaping skylines across the globe?
Multiplex is a premier construction company with a simple purpose: to construct a better future.
As part of our team, you'll have the opportunity to help deliver some of the world's most iconic projects, supported by approachable leadership and an inclusive culture that puts our people first.
Supporting the business, Multiplex has a Global IT division with colleagues located across Australia, UAE, UK, and Canada worki","[""lead and coordinate multiple IT projects"", ""ensure program outcomes align with organisational goals"", ""manage interdependencies, risks, and resources"", ""provide governance and stakeholder engagement"", ""achieve successful delivery within scope, time, and budget"", ""foster a collaborative team environment"", ""drive the delivery of multiple interrelated projects"", ""plan and prioritise initiatives"", ""manage resources and budgets"", ""ensure adherence to governance standards"", ""coordinate stakeholders across IT and business units"", ""lead change management activities"", ""monitor risks and issues"", ""provide clear reporting to senior leadership"", ""risks"", ""resources"", ""provide governance"", ""time"", ""budget"", ""planning"", ""budgets"", ""coordinate stakeholders"", ""issues"", ""provide clear reporting"", ""helping""]",25,"[""Multiplex IT Delivery Framework"", ""digital technology"", ""IT infrastructure"", ""End User Experience"", ""program framework"", ""governance standards""]",6,10,15,"{""Remember"": 0, ""Understand"": 1, ""Apply"": 9, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 15}",0.2106983808706461,0.0330247325868888,0.1857823942836962,8,0.3478912006724964,0.6703943216050022,0.8149621428571429,1.015966040428649
in-15e1d951cdf21d76,"TCEQ - Sr.
Database Administrator (00053971) Organization: TEXAS COMMISSION ON ENVIRONMENTAL QUALITY Primary Location: Texas -Austin Work Locations: Headquarters (582 -HQAUS) 12100 Park 35 Circle Austin 78753 Job: Computer and Mathematical Employee Status: Regular Schedule: Full -time Standard Hours Per Week: 40 .00 State Job Code: 0214 Salary Admin Plan: B Grade: 27 Salary (Pay Basis): 8,519 .00 - 8,519 .00 (Monthly) Number of Openings: 1 Overtime Status: Exempt Job Posting: Nov 21, 2025, 12:00","[""lead complex technical database activities"", ""perform highly advanced database administration activities"", ""serve as a technical expert for database related activities"", ""lead the design and creation of database standards"", ""implement improvements to existing database design standards"", ""document new standards"", ""lead the monitoring of existing databases"", ""analyze and implement performance improvements"", ""evaluate risks and benefits"", ""develop backup and recovery best practice guidelines"", ""communicate with customers and staff to gather and disseminate complex information"", ""lead the creation, modification, and implementation of database objects"", ""coordinate with team for implementation of database objects"", ""assist in the design, maintenance, and inventory of existing database objects"", ""lead the implementation of database security controls"", ""monitor and implement database security controls"", ""design and document new database security controls"", ""communicate on database security breach findings"", ""communicate regularly to ensure database integrity and security"", ""share and disseminate complex information during project phases"", ""assist in the creation of system architecture diagrams"", ""assist in the creation of cost and benefit analysis reports"", ""support the logistical"", ""operational structure"", ""Serve as a technical expert"", ""work with"", ""providing high level technical support"", ""consultation services for database related activities."", ""Lead the design"", ""guidelines"", ""policies"", ""procedures."", ""reuse of data components"", ""change procedures for existing databases"", ""naming conventions."", ""following"", ""Lead the monitoring of existing development"", ""test"", ""production databases."", ""Analyze"", ""benefits"", ""recommend appropriate changes to the environments."", ""Develop backup"", ""follow"", ""maintain"", ""Communicate with customers"", ""management"", ""consultants"", ""staff"", ""gather"", ""disseminate complex information"", ""participates in"", ""maintain standards in all database environments."", ""Lead the creation"", ""modification"", ""Coordinate with Team for Texas"", ""creation"", ""implementation of database objects in test"", ""production environments."", ""Assist in the design"", ""maintenance"", ""support application security requirements."", ""Monitor"", ""Design"", ""improve security"", ""meet audit standards."", ""Communicate with managers"", ""technical staff"", ""Communicate regularly with technical"", ""applications"", ""operational staff"", ""security."", ""customers"", ""share"", ""disseminate complex information needed"", ""architectural guidance"", ""maintain standards in"", ""Assist the team lead"", ""work lead"", ""descriptions"", ""maintain the security or integrity of the infrastructure is""]",81,"[""database administration"", ""database standards"", ""data model review"", ""change control board"", ""development environments"", ""test environments"", ""production environments"", ""database objects"", ""database security controls"", ""audit standards"", ""system architecture"", ""costs and benefit analysis"", ""Backup and Recovery SLAs"", ""change control"", ""Recovery SLAs"", ""frequency,"", ""retention,"", ""recovery windows."", ""database technology"", ""architectural guidance"", ""development,"", ""test,"", ""production database environments."", ""criminal"", ""history records"", ""driving""]",26,73,8,"{""Remember"": 0, ""Understand"": 1, ""Apply"": 42, ""Analyze"": 9, ""Evaluate"": 7, ""Create"": 14, ""N/A"": 8}",0.3956459525187835,0.3617444110126964,0.2477009392045015,1,0.1532008905668516,0.6168539151430232,0.8377434129656353,0.8986356960571674
in-3ae1644557e7d221,"Job Description: Grade: P8 Referral Level: Level 1 Division: IGM -COD IGM Financial Inc. is a leading wealth and asset management company in Canada, managing approximately $271 billion in assets.
We thank all applicants for their interest in Mackenzie Investments; however, only those candidates selected for an interview will be contacted. #LI -JS2 #LI -Hybrid",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-8585f0138efe6be9,"Company Description Accent Services is a leading mechanical contractor within the commercial sector, with more than forty years of delivering high quality work across a wide range of clients.
With offices in Shepperton and Bristol, our team includes more than thirty mobile engineers and twenty office based colleagues.
We have clear and ambitious plans for growth and provide excellent opportunities for individuals who apply strong work ethic and consistent performance.
Purpose of the Role We are ","[""manage chiller related remedial quotations"", ""review engineer reports"", ""convert findings into clear and accurate quotations"", ""use established costing sheets"", ""build quotes in line with business requirements"", ""research material, component, and equipment costs"", ""assess technical risk, operational constraints, and commercial implications"", ""liaise with engineers to confirm technical details"", ""issue quotations to clients"", ""work under pressure in a fast paced environment"", ""maintain high standards of customer service"", ""producing accurate"", ""timely"", ""commercially sound quotations"", ""convert findings into clear"", ""accurate quotations."", ""build quotes"", ""Research material"", ""component"", ""equipment costs specific"", ""Assess technical risk"", ""operational constraints"", ""commercial implications"", ""confirm technical details"", ""ensure the proposed solution is correct."", ""communication skills"", ""using computers"", ""standard software packages."", ""Attention to detail"", ""analytical thinking"", ""proactive approach""]",31,"[""chiller"", ""HVAC"", ""chiller systems"", ""chiller related remedial work"", ""chiller estimating"", ""standard software packages""]",6,26,5,"{""Remember"": 2, ""Understand"": 3, ""Apply"": 12, ""Analyze"": 1, ""Evaluate"": 5, ""Create"": 3, ""N/A"": 5}",0.0517819217768296,0.0517819217768296,0.0,15,0.2169002647753115,0.6561782160319823,0.8218072196620585,0.9359818883929476
in-51f87fa36bf9dcbe,"Requisition ID: 97065 Job Category: Project Controls Location: Perth, Western Australia, Australia Join a company that is passionately committed to the pursuit of a better world through positive change.
With more than 65 years of business and technical expertise in mining, energy, and infrastructure, our 10,000 colleagues in 150 countries tirelessly work toward bettering the industries in which we operate.
With practical solutions that are safe, innovative and sustainable, we think globally whil","[""develop cost management plan"", ""maintain cost data"", ""report cost data"", ""oversee budget variations"", ""analyze cost trends"", ""forecast costs"", ""coordinate cost management discipline"", ""manage a team"", ""mentor team members"", ""uphold governance standards"", ""deliver financial control"", ""facilitate project decision making"", ""driving financial success"", ""ensuring projects stay on track"", ""within budget."", ""delivering robust financial control in"", ""making a real impact on project performance"", ""outcomes."", ""develop"", ""facilitate sound project decision making.In"", ""oversee variations"", ""revisions to existing budgets"", ""changes to scope"", ""contract variation quotations"", ""manage"", ""mentor a team of Cost Controllers""]",26,"[""Project Controls"", ""Cost Management"", ""engineering"", ""mining"", ""energy"", ""infrastructure"", ""sustainable studies"", ""asset building"", ""operations"", ""governance""]",10,21,5,"{""Remember"": 0, ""Understand"": 1, ""Apply"": 16, ""Analyze"": 2, ""Evaluate"": 0, ""Create"": 2, ""N/A"": 5}",0.1889804036194109,0.1294304463704469,0.1451693170949032,9,0.2395269870758056,0.6479828544361962,0.7989931318681318,0.9466404477886432
in-444b4b837844792e,"Business Analyst, Project Management Office Role Summary In accordance with the Mission, Vision and Values, and strategic directions of PHSA, safety, including both patient and employee safety, is a priority and a responsibility shared by everyone at PHSA.
As such, the requirement to continuously improve quality and safety is inherent in all aspects of this position.
The BC Health Workday Program is a provincial initiative with seven participating BC health organizations (FHA, IHA, ISLH, NHA, PH","[""analyze data and performance metrics"", ""manage audits"", ""prepare financial models"", ""prepare budget/variance reports"", ""implement new accounting standards"", ""develop policies and procedures"", ""represent the project at various meetings"", ""monitor and track remediation activities"", ""collaborate with various invested partners"", ""translate user needs into evidence-based measurable requirements"", ""validate benefit data"", ""build and maintain dataset and dashboards"", ""build and maintain scorecards and analytic reports"", ""provide structure to undefined/large-scale problems"", ""develop solutions for the business"", ""maintain detailed records of data handling activities"", ""provide strategic and comprehensive advisory services"", ""foster trust and mutual respect"", ""support open dialogue on issues"", ""analyzing data"", ""data mining"", ""procedures"", ""representing the project at various"", ""monitors"", ""builds"", ""maintains dataset"", ""dashboards"", ""scorecards"", ""analytic reports"", ""provides strategic"", ""improving accuracy"", ""completeness"", ""validity of data"", ""improving reporting compliance."", ""creating a strong team environment"", ""mutual respect""]",36,"[""Human Capital Management System (HCMS)"", ""Workday"", ""data mining"", ""accounting standards"", ""dashboards"", ""scorecards""]",6,29,7,"{""Remember"": 0, ""Understand"": 3, ""Apply"": 11, ""Analyze"": 6, ""Evaluate"": 3, ""Create"": 6, ""N/A"": 7}",0.2897165048433722,0.2812847689406948,0.1019652645135867,8,0.3761428143038894,0.7216186006919482,0.8167420634920637,1.0300530374095054
in-03fe406c2c72b8f5,"Work Location: Toronto, Ontario, Canada Hours: 37 .5 Line of Business: Business Management, Strategy & Support Pay Details: $65,600 - $98,400 CAD TD is committed to providing fair and equitable compensation opportunities to all colleagues.
As a candidate, you are encouraged to ask compensation related questions and have an open dialogue with your recruiter who can provide you more specific details for this role. Job Description: Business Operations Management (BOM) team helps our Platform & Tech","[""manage financial performance"", ""manage portfolio investments"", ""manage resources"", ""manage operational risk"", ""manage employee communications"", ""manage colleague engagement"", ""achieve operational excellence"", ""achieve strategic excellence"", ""ask compensation related questions""]",9,"[""Business Management"", ""Strategy & Support"", ""Business Operations Management"", ""Financial & performance management"", ""Portfolio & investment management"", ""Resource management"", ""Operational risk management"", ""Employee communications"", ""Colleague engagement""]",9,3,6,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 1, ""Evaluate"": 1, ""Create"": 0, ""N/A"": 6}",0.1216593976948479,0.0,0.1216593976948479,14,0.0,0.6120071479110533,0.8508333333333334,0.89
