job_id,raw_text,jobbert_skills_raw,jobbert_skills_count,jobbert_knowledge_raw,jobbert_knowledge_count,gpt_skills_raw,gpt_skills_count,gpt_knowledge_raw,gpt_knowledge_count,final_skills,final_skills_count,final_knowledge,final_knowledge_count,jobbert_hard_skills,jobbert_soft_skills,jobbert_bloom_distribution,gpt_hard_skills,gpt_soft_skills,gpt_bloom_distribution,final_hard_skills,final_soft_skills,final_bloom_distribution,jobbert_avg_confidence,gpt_avg_confidence,final_avg_confidence,jobbert_confidence_distribution,gpt_confidence_distribution,final_confidence_distribution,coverage_total_components,covered_components,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,missing_components_count,model_agreement_score,exact_matches,partial_matches,no_matches,bert_only_skills,gpt_only_skills,fused_skills,bert_only_knowledge,gpt_only_knowledge,fused_knowledge,avg_semantic_density,avg_context_agreement,bloom_consistency_score,extraction_time_seconds,job_date,job_year,job_month
in-1ff77799c8c16660,This role will focus on helping to drive assurance and advisory initiatives to support the technology portfolio spanning across our wide spectrum of businesses.,"[""drive assurance"", ""advisory initiatives""]",2,[],0,"[""drive assurance initiatives"", ""support technology portfolio""]",2,[],0,"[""drive assurance initiatives"", ""support technology portfolio"", ""advisory initiatives""]",3,[],0,2,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",1,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.725231493,0.722919417,0.638491692,"{""Very High"": 0, ""High"": 1, ""Medium High"": 0, ""Medium"": 1, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 1, ""Medium High"": 0, ""Medium"": 1, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 1, ""Medium"": 1, ""Medium Low"": 1, ""Low"": 0, ""Very Low"": 0}",19,0,0,0,0,19,0.452927023,1,0,3,1,1,1,0,0,0,0.858333333,1.047298471,1,2.719614744,10/23/2025,2025,2025-10
in-8b20bbf16019e5c1,"Business FunctionGroup Operations enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation.",[],0,[],0,"[""enable efficient infrastructure"", ""empower the bank"", ""focus on productivity"", ""focus on quality & control"", ""focus on technology"", ""focus on people capability"", ""focus on innovation""]",7,[],0,"[""enable efficient infrastructure"", ""empower the bank"", ""focus on productivity"", ""focus on quality & control"", ""focus on technology"", ""focus on people capability"", ""focus on innovation""]",7,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",4,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 4, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",4,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 4, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",0,0.590034549,0.590034549,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 5, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 5, ""Low"": 0, ""Very Low"": 0}",19,2,0.026302932,0.026302932,0,17,0,0,0,7,0,7,0,0,0,0,0.780642857,0.9,1,3.67674017,11/26/2025,2025,2025-11
in-c6260e808dfcf870,"We embrace and celebrate diversity in all its forms, recognizing that it makes our organization stronger.",[],0,[],0,"[""embrace diversity"", ""celebrate diversity"", ""recognize diversity's impact""]",3,[],0,"[""embrace diversity"", ""celebrate diversity"", ""recognize diversity's impact""]",3,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",0,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",0,0.604806528,0.604806528,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 3, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 3, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,0,0,0,0,19,0,0,0,3,0,3,0,0,0,0,0.856666667,0.9,1,2.044235706,11/10/2025,2025,2025-11
in-08bda50c77b08f46,"The keys to reaching that goal are effective leadership, equal application of fair human resources policies, competitive wages and benefits, and close attention to all health enthusiast matters.",[],0,[],0,"[""lead effectively"", ""apply fair human resources policies"", ""manage competitive wages and benefits"", ""pay close attention to health enthusiast matters""]",4,[],0,"[""lead effectively"", ""apply fair human resources policies"", ""manage competitive wages and benefits"", ""pay close attention to health enthusiast matters""]",4,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,4,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 4}",0,4,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 4}",0,0.597407299,0.597407299,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 1, ""Medium Low"": 3, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 1, ""Medium Low"": 3, ""Low"": 0, ""Very Low"": 0}",19,0,0,0,0,19,0,0,0,4,0,4,0,0,0,0,0.79725,0.9,1,2.284844637,11/24/2025,2025,2025-11
in-9c56a08563d056f0,Pay ranges may be modified in the future.Latham Pool Products is an Equal Opportunity Employer.,[],0,[],0,[],0,[],0,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,0,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889653206,12/1/2025,2025,2025-12
in-63f669715089b1d1,"The area offers a low cost of living and provides many social, cultural, and recreational options, including parks, museums, festivals, professional regional theater, and premier shopping venues.",[],0,[],0,[],0,[],0,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,0,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.403589725,12/1/2025,2025,2025-12
in-e60f7f8e30553e08,We do this through infrastructure as code and configuration scripts that build fully operational commercial applications that can immediately be used in a production environment.,[],0,[],0,"[""build fully operational commercial applications"", ""use infrastructure as code"", ""write configuration scripts""]",3,"[""infrastructure as code"", ""configuration scripts"", ""production environment""]",3,"[""build fully operational commercial applications"", ""use infrastructure as code"", ""write configuration scripts""]",3,"[""infrastructure as code"", ""configuration scripts"", ""production environment""]",3,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",3,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 2, ""N/A"": 0}",3,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 2, ""N/A"": 0}",0,0.644398931,0.644398931,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 1, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 1, ""Low"": 0, ""Very Low"": 0}",19,3,0.053345928,0.015261709,0.038084219,16,0,0,0,3,0,3,0,0,3,0,0.826833333,0.9,1,2.629340172,4/4/2025,2025,2025-04
in-f8982109357c56e0,"We’re looking for a Data Scientist who thrives at the intersection of data engineering, machine learning, and creative experimentation.",[],0,"[""data engineering,"", ""machine learning,"", ""creative experimentation.""]",3,"[""analyze data"", ""implement machine learning models"", ""collaborate with team"", ""solve problems""]",4,"[""data engineering"", ""machine learning"", ""creative experimentation""]",3,"[""analyze data"", ""implement machine learning models"", ""collaborate with team"", ""solve problems""]",4,"[""data engineering"", ""machine learning"", ""creative experimentation""]",3,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",2,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",2,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0,0.571741757,0.571741757,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 1, ""Low"": 1, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 1, ""Low"": 1, ""Very Low"": 0}",19,5,0.141863407,0.042718286,0.141863407,14,0,0,0,4,0,4,0,0,0,3,0.79375,0.9,1,3.062902927,8/15/2025,2025,2025-08
in-ea2cd0b0c6f52f4f,"When we say multi -scale, we mean it: we build world -class foundation models for simulating both the microscopic motion of atoms and the macroscopic flow of liquids in 1GW data centers.",[],0,[],0,"[""build foundation models"", ""simulate microscopic motion of atoms"", ""simulate macroscopic flow of liquids""]",3,"[""foundation models"", ""microscopic motion of atoms"", ""macroscopic flow of liquids"", ""data centers""]",4,"[""build foundation models"", ""simulate microscopic motion of atoms"", ""simulate macroscopic flow of liquids""]",3,"[""foundation models"", ""microscopic motion of atoms"", ""macroscopic flow of liquids"", ""data centers""]",4,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",3,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 0}",3,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 0}",0,0.65127576,0.65127576,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 3, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 3, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,1,0.017583629,0,0.017583629,18,0,0,0,3,0,3,0,0,4,0,0.798,0.9,1,3.78580451,11/4/2025,2025,2025-11
in-26af18a0c573f667,"In this key role, you’ll work closely with cross -disciplined teams to ensure alignment between creative vision, technical execution, and production targets.","[""work closely with cross -disciplined teams"", ""ensure alignment between creative vision"", ""technical execution"", ""production targets.""]",4,[],0,"[""work with cross-disciplined teams"", ""ensure alignment between creative vision, technical execution, and production targets""]",2,[],0,"[""work with cross-disciplined teams"", ""ensure alignment between creative vision, technical execution, and production targets"", ""ensure alignment between creative vision"", ""technical execution"", ""production targets.""]",5,[],0,3,1,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 1}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",3,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.757612507,0.731558918,0.646181586,"{""Very High"": 1, ""High"": 1, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 1, ""Medium High"": 0, ""Medium"": 1, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 1, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 2, ""Very Low"": 0}",19,1,0.007505331,0.007505331,0,18,0.24610503,1,0,5,3,1,1,0,0,0,0.8378,0.948333681,1,2.395903826,9/25/2025,2025,2025-09
