knowledge,freq,mean_confidence,confidence_score,job_id,source,best_future_domain,trend_label,trend_score,similarity,future_weight,job_text,review_id,human_valid,human_notes,reviewer_id
administrative processes,1,0.729,0.729,in-9bf4d6d9ee1e4a14,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.39864388,0.1993219405412674,"Responsible for administrative processes and activity reporting associated with projects. Sourcing Process: Applies, embeds, and improves processes related to sourcing to maximize the efficiency, effectiveness, and compliance of the function.",know_7c5078264033,,,
Customer Lifetime Value (CLTV),1,0.75,0.75,in-18f1331162449a3f,LLM,Routine Maintenance Coding,Decline,-0.3,0.15371412,0.0,"Purview, Alation, Collibra) Background in SaaS or scale -up environments with KPIs like Monthly Recurring Revenue (MRR), Churn Rate, Customer Acquisition Cost (CAC), and Customer Lifetime Value (CLTV) What we offer A competitive salary - let's discuss it Hybrid working Group Personal Pension - up to 12% employer contribution Generous annual bonus scheme between 6% and 24% 25 days annual leave plus bank holidays, and a holiday buy and sell scheme An array of health and wellbeing benefits, includi",know_b3f723b6887c,,,
"-based sharding,",1,0.457,0.457,in-b7d373f800daeb37,BERT (standalone),Database & Systems Administration,Moderate_Growth,0.5,0.19230951,0.0,"Work with range -based and hash -based sharding, indexing strategies, and performance workflows.",know_41c2e1f5d438,,,
Top Secret Security Clearance,1,0.781,0.781,in-7d34855edd4c608f,BERT+LLM,Cybersecurity,Strong_Growth,0.9,0.27396643,0.0,"REQUIRED SKILLS AND QUALIFICATIONS Active Top Secret Security Clearance with CI Poly and SCI eligible. Bachelor's degree in Computer Science, Computer Engineering, or Electrical Engineering with minimum of seven (7 ) years of experience. Experience with software development lifecycle and use of associated tools. Proficient in Docker and Kubernetes. Experience with the CI/CD pipeline. Exceptional analytical skills and problem -solving skills. High level of self -initiative and self -motivation wi",know_914293ae65d8,,,
SFDX CLI,1,0.75,0.75,in-3a39cfdef1dc8c0a,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.26260155,0.0,"JS, or JavaScript. Experience with Salesforce DX, SFDX CLI, CI/CD tooling (GitHub/Bitbucket, Splunk/Sumologic) and test automation frameworks. Knowledge and understanding building APEX code/classes, triggers, integrations, Visualforce/ Lightning UI components. Experience in design and implementation of real -time and batch integration with Salesforce and other systems using REST/Bulk APIs. Experience with Agile development environments, secure coding practices and security implementations. Sales",know_2357726dfdab,,,
training resources,1,0.75,0.75,in-46e62d53acf7182f,LLM,Leadership & People Development,Moderate_Growth,0.55,0.33360654,0.1834835976362228,"Coaching & Knowledge Sharing Mentor designers by sharing your process, frameworks, and lessons learned. Create training resources and documentation that enhance team effectiveness and design maturity. Foster an inclusive, transparent design culture across disciplines and locations.",know_651a191f8f91,,,
Life Sciences,2,0.7985,0.7985,in-192e3d1483bd7d61,BERT+LLM,Database & Systems Administration,Moderate_Growth,0.5,0.27578554,0.0,The solution is now used by some of the world’s leading Life Sciences companies. Position Summary Reporting to our Software Development Manager the Software Developer will help Kneat grow its market leading technology by contributing to the continuous growth and improvement of our software. The successful candidate will use their proven technical skills to drive enhancements to our product suite.,know_d98513b084ec,,,
Service Oriented Architectures,1,0.849,0.849,in-5954110f7af52605,BERT+LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.34872776,0.2964185982942581,"What you’ll bring Bachelor’s degree in Computer Science, Engineering, Technology or a related discipline. Experience with data platforms like Microsoft Fabric 5 + years of experience in Programming, with a minimum of 2 years in a large IT environment. Expert knowledge across current software toolsets such as C #/.Net, C #/.Net Core, NodeJS Experience building software using patterns like Event Sourcing, Domain Driven Design, Service Oriented Architectures, and Hexagonal/Onion/Clean architecture ",know_c7eae342f9ed,,,
site safety,1,0.75,0.75,in-07327cecfc3dbffe,LLM,Cybersecurity,Strong_Growth,0.9,0.25274807,0.0,"Australian Citizen). Flexibility to complete a wide range of site programs, with dedication to site safety. Ability to provide high -quality data management using industry -standard tools. Additional Information Why you’ll love working with us: Flexible work arrangements, including alternative start/finish times, part -time, job -sharing and hybrid work options Purchase up to 6 weeks additional annual leave per year Swap public holidays – swap Easter or other holidays for ones that suit you bett",know_314e7e31158f,,,
gaming,1,0.75,0.75,in-6d7865a492e1980f,LLM,Game Development & Interactive Media,Moderate_Growth,0.6,0.45838833,0.2750329971313476,Joining Entity at this stage is a rare opportunity to help shape the future of gaming. About the role We’re looking for an experienced Head of Developer Partnerships to lead and scale how we engage with game developers worldwide.,know_967ef2eb3463,,,
Electrical Design,1,0.75,0.75,in-76b4dd8a1e3b013e,LLM,UX/UI & Digital Design,Moderate_Growth,0.55,0.25941378,0.0,Plan Group Inc. is currently looking for an Electrical Design Manager to join our Integrated Pursuits team in pursuing major constructions projects across Canada.,know_43a92a2578e1,,,
