job_id,date_posted,knowledge,confidence_score,confidence_tier,source,run_id
in-e60f7f8e30553e08,,infrastructure as code,0.75,Medium High,GPT,results_run1
in-e60f7f8e30553e08,,configuration scripts,0.75,Medium High,GPT,results_run1
in-e60f7f8e30553e08,,production environment,0.75,Medium High,GPT,results_run1
in-f8982109357c56e0,,data engineering,0.826,High,BERT+GPT,results_run1
in-f8982109357c56e0,,machine learning,0.822,High,BERT+GPT,results_run1
in-f8982109357c56e0,,creative experimentation,0.827,High,BERT+GPT,results_run1
in-ea2cd0b0c6f52f4f,,foundation models,0.75,Medium High,GPT,results_run1
in-ea2cd0b0c6f52f4f,,microscopic motion of atoms,0.75,Medium High,GPT,results_run1
in-ea2cd0b0c6f52f4f,,macroscopic flow of liquids,0.75,Medium High,GPT,results_run1
in-ea2cd0b0c6f52f4f,,1GW data centers,0.75,Medium High,GPT,results_run1
in-6e0bef22111034dc,,Water systems,0.75,Medium High,GPT,results_run1
in-6e0bef22111034dc,,Mechanical engineering,0.75,Medium High,GPT,results_run1
in-6e0bef22111034dc,,Project management,0.75,Medium High,GPT,results_run1
in-879b2fe47e1fbc66,,EHR,0.75,Medium High,GPT,results_run1
in-b743930ff16064e7,,science,0.75,Medium High,GPT,results_run1
in-b743930ff16064e7,,engineering,0.75,Medium High,GPT,results_run1
in-b743930ff16064e7,,data analytics,0.75,Medium High,GPT,results_run1
in-b743930ff16064e7,,technology,0.75,Medium High,GPT,results_run1
in-b743930ff16064e7,,government agencies,0.75,Medium High,GPT,results_run1
in-3787ada24baceced,,AI,0.823,High,BERT+GPT,results_run1
in-3787ada24baceced,,Machine Learning,0.822,High,BERT+GPT,results_run1
in-3787ada24baceced,,LLM,0.827,High,BERT+GPT,results_run1
in-dcd8dd1044f2926f,,stormwater management,0.831,High,BERT+GPT,results_run1
in-dcd8dd1044f2926f,,watershed planning,0.75,Medium High,GPT,results_run1
in-c07071dff55c7f74,,client interaction,0.75,Medium High,GPT,results_run1
in-c07071dff55c7f74,,technical capabilities,0.75,Medium High,GPT,results_run1
in-c07071dff55c7f74,,creative capabilities,0.75,Medium High,GPT,results_run1
in-04d821a61bf4f3f8,,AWS,0.75,Medium High,GPT,results_run1
in-04d821a61bf4f3f8,,cloud environments,0.75,Medium High,GPT,results_run1
in-6434f75ccfa896cd,,ERP,0.75,Medium High,GPT,results_run1
in-6434f75ccfa896cd,,integrated applications,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Databricks,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Spark,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Kafka,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Airflow,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Temporal,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,dbt,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Terraform,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,AWS,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,S3,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,EKS,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,MSK,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,DMS,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,Glue,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,data engineering concepts,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,machine learning lifecycle,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,MLOps,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,GenAI,0.75,Medium High,GPT,results_run1
in-59f89f855608fde0,,emerging technologies,0.75,Medium High,GPT,results_run1
in-7f1b7715acb11a2e,,Nerdio,0.75,Medium High,GPT,results_run1
in-7f1b7715acb11a2e,,cloud environments,0.75,Medium High,GPT,results_run1
in-7f1b7715acb11a2e,,multi-tenant technology,0.75,Medium High,GPT,results_run1
in-7f1b7715acb11a2e,,workflow-powered technology,0.75,Medium High,GPT,results_run1
in-4253237d507304c7,,Trainium,0.75,Medium High,GPT,results_run1
in-4253237d507304c7,,ML training,0.75,Medium High,GPT,results_run1
in-4253237d507304c7,,teraflops,0.75,Medium High,GPT,results_run1
in-4253237d507304c7,,TFLOPS,0.75,Medium High,GPT,results_run1
in-4253237d507304c7,,cloud,0.75,Medium High,GPT,results_run1
in-2ea46d88545e7e84,,media contracts,0.75,Medium High,GPT,results_run1
in-2ea46d88545e7e84,,client files,0.75,Medium High,GPT,results_run1
in-2ea46d88545e7e84,,VML management system,0.75,Medium High,GPT,results_run1
in-2ea46d88545e7e84,,Pegasus,0.75,Medium High,GPT,results_run1
in-81cfe369e4ad49b5,,Global Medical,0.75,Medium High,GPT,results_run1
