job_id,raw_text,final_skills,final_skills_count,final_knowledge,final_knowledge_count,final_hard_skills,final_soft_skills,final_bloom_distribution,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,missing_components_count,model_agreement_score,final_avg_confidence,avg_semantic_density,avg_context_agreement
in-1ff77799c8c16660,This role will focus on helping to drive assurance and advisory initiatives to support the technology portfolio spanning across our wide spectrum of businesses.,"[""drive assurance initiatives"", ""drive advisory initiatives"", ""support technology portfolio""]",3,[],0,0,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",0.0,0.0,0.0,19,0.4814385282687651,0.7288820418808714,0.8508333333333334,1.140183091676415
in-8b20bbf16019e5c1,"Business FunctionGroup Operations enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation.","[""enable bank operations"", ""empower bank operations"", ""focus on productivity"", ""focus on quality"", ""focus on control"", ""focus on technology"", ""focus on people capability"", ""focus on innovation""]",8,"[""Group Operations"", ""bank infrastructure""]",2,0,8,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 8}",0.0439389203724108,0.0,0.0439389203724108,17,0.0,0.6049692000000001,0.7740625000000001,0.9
in-c6260e808dfcf870,"We embrace and celebrate diversity in all its forms, recognizing that it makes our organization stronger.",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-08bda50c77b08f46,"The keys to reaching that goal are effective leadership, equal application of fair human resources policies, competitive wages and benefits, and close attention to all health enthusiast matters.","[""lead effectively"", ""apply fair human resources policies"", ""pay close attention to health enthusiast matters""]",3,"[""human resources policies"", ""competitive wages"", ""benefits""]",3,0,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",0.0,0.0,0.0,19,0.0,0.6355065600000002,0.797,0.9
in-9c56a08563d056f0,Pay ranges may be modified in the future.Latham Pool Products is an Equal Opportunity Employer.,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-63f669715089b1d1,"The area offers a low cost of living and provides many social, cultural, and recreational options, including parks, museums, festivals, professional regional theater, and premier shopping venues.",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-e60f7f8e30553e08,We do this through infrastructure as code and configuration scripts that build fully operational commercial applications that can immediately be used in a production environment.,"[""build commercial applications"", ""use infrastructure as code"", ""use configuration scripts""]",3,"[""Infrastructure as Code"", ""Configuration scripts""]",2,3,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 0}",0.0414913237433372,0.0239756255111884,0.0175156982321488,17,0.0,0.67772611584,0.8241666666666667,0.9
in-f8982109357c56e0,"We’re looking for a Data Scientist who thrives at the intersection of data engineering, machine learning, and creative experimentation.","[""experiment creatively""]",1,"[""data engineering"", ""machine learning"", ""creative experimentation""]",3,0,1,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 1}",0.1445967801898852,0.0,0.1445967801898852,14,0.0,0.6491520000000001,0.9000000000000001,0.9
in-ea2cd0b0c6f52f4f,"When we say multi -scale, we mean it: we build world -class foundation models for simulating both the microscopic motion of atoms and the macroscopic flow of liquids in 1GW data centers.","[""simulate microscopic motion of atoms"", ""simulate macroscopic flow of liquids"", ""build foundation models""]",3,"[""foundation models"", ""atoms"", ""liquids"", ""data centers""]",4,3,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 0}",0.0175836287046733,0.0,0.0175836287046733,18,0.0,0.6720611569920002,0.798,0.9
in-26af18a0c573f667,"In this key role, you’ll work closely with cross -disciplined teams to ensure alignment between creative vision, technical execution, and production targets.","[""work with cross-disciplined teams"", ""ensure alignment between creative vision, technical execution, and production targets"", ""ensure alignment between creative vision"", ""technical execution"", ""production targets.""]",5,[],0,3,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.0093650424752545,0.0093650424752545,0.0,18,0.2461050301790237,0.666861529540171,0.8378,0.9483336811145378
in-6e0bef22111034dc,Principal Mechanical Engineer - Water - ( 250002MV ) Description Stantec’s Water team in Australia has an impressive portfolio of successful major projects that are already positively impacting our communities across the country.,[],0,"[""Water""]",1,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-1d2c80ce481cb11f,Shortlisted candidates will be contacted in mid -to -late January 2026 to confirm interview arrangements.,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-aff3b59d34df3979,"Whether it’s a hoodie, a car or a laptop, we can see our code helping to get that product to the high street. We take pride in how we build Our self organizing teams make the decisions in how they architect, implement and deliver the code that they write.","[""architect code"", ""implement code"", ""deliver code"", ""write code"", ""make decisions""]",5,[],0,4,1,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 2, ""N/A"": 1}",0.0985961878608448,0.0985961878608448,0.0,14,0.0,0.6795677583360001,0.7769999999999999,0.9
in-42b2f9911c525537,We’re remote -first!,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-cd0b808434c4f92d,"We are an equal opportunity employer and aim to attract and retain the best people without attention to age, background, disability, ethnic origin, family duties, political affiliation, race, religion, gender and sexual orientation.",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-083ac975933f3cb9,"With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all Overview The API Gateway BizOps team is looking for a Senior Engineer to drive our customer experience strategy forward by consistently innovating and problem -solving.","[""drive customer experience strategy"", ""innovate consistently"", ""solve problems"", ""problem -solving.""]",4,"[""API Gateway""]",1,1,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 3}",0.0803883701383149,0.0241021894915189,0.0562861806467959,14,0.0,0.5747721601780499,0.8418750000000002,0.8775000000000001
in-9f46d4765e1e5db4,"Industry analysts consistently rank us as a top supplier management solution, and you’ll be helping build that reputation.","[""build reputation""]",1,[],0,0,1,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 1}",0.0,0.0,0.0,19,0.0,0.6392160000000002,0.8250000000000001,0.9
in-879b2fe47e1fbc66,"Partners with clinical leaders to optimize clinical workflows within the Hospital's EHR for efficiency. –Supervises, mentors, and evaluates visual, data, and business analytics staff to ensure high performance and professional growth.","[""optimize clinical workflows"", ""supervise staff"", ""mentor staff"", ""evaluate staff"", ""ensure high performance"", ""professional growth.""]",6,"[""EHR"", ""clinical workflows"", ""business analytics"", ""data analytics""]",4,3,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 1, ""Evaluate"": 1, ""Create"": 0, ""N/A"": 3}",0.1603454587299267,0.1207248572264542,0.0780478213962755,12,0.25,0.6966531734556161,0.8191666666666667,0.9658333333333332
in-b743930ff16064e7,"IDS is committed to providing superior work in the fields of science, engineering, data analytics and technology to government agencies.",[],0,"[""Science"", ""Engineering"", ""Data analytics"", ""Technology""]",4,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.1186766699740761,0.0,0.1186766699740761,13,0.0,0.0,0.0,0.0
in-3d878553075cff9f,"We offer competitive compensation, comprehensive healthcare coverage, and programs to support you and your family through different life stages, from parental leave to generous retirement savings plans.",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
