job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement
in-547d46bd5f33a0e9,,manage risk,Hard,Apply,0.665,Medium,GPT,0.75,0.9
in-547d46bd5f33a0e9,,respond to challenges,Soft,,0.635,Medium,GPT,0.79,0.9
in-547d46bd5f33a0e9,,drive performance and profitability,Hard,Apply,0.598,Medium Low,GPT,0.84,0.9
in-71a63fd880be60b3,,promote continuous improvement,Soft,,0.647,Medium,GPT,0.88,0.9
in-71a63fd880be60b3,,make suggestions,Soft,,0.639,Medium,GPT,0.83,0.9
in-71a63fd880be60b3,,contribute to service delivery,Soft,,0.636,Medium,GPT,0.8,0.9
in-71a63fd880be60b3,,enhance patient care,Soft,,0.633,Medium,GPT,0.78,0.9
in-b91dc4f379ed04ae,,design automated data ingestion pipelines,Hard,Create,0.923,Very High,GPT,0.82,1.23
in-b91dc4f379ed04ae,,develop automated data ingestion pipelines,Hard,Create,0.926,Very High,GPT,0.83,1.23
in-b91dc4f379ed04ae,,maintain automated data ingestion pipelines,Hard,Create,1.0,Very High,BERT+GPT,0.83,1.24
in-b91dc4f379ed04ae,,clean diverse datasets,Hard,Apply,0.604,Medium,GPT,0.8,0.96
in-b91dc4f379ed04ae,,transform diverse datasets,Hard,Apply,0.609,Medium,GPT,0.84,0.96
in-b91dc4f379ed04ae,,merge diverse datasets,Hard,Apply,0.936,Very High,BERT+GPT,0.81,1.23
in-b91dc4f379ed04ae,,manage data connections,Soft,,1.0,Very High,BERT+GPT,0.81,1.25
in-b91dc4f379ed04ae,,implement access control policies,Hard,Apply,1.0,Very High,BERT+GPT,0.84,1.24
in-b91dc4f379ed04ae,,collaborate with IT and security teams,Soft,,0.702,Medium High,GPT,0.77,0.96
in-b91dc4f379ed04ae,,assist with setup of new features,Hard,Apply,0.597,Medium Low,GPT,0.74,0.96
in-b91dc4f379ed04ae,,configure new features,Hard,Apply,0.716,Medium High,GPT,0.8,0.96
in-b91dc4f379ed04ae,,test new features,Hard,Evaluate,0.709,Medium High,GPT,0.75,0.96
in-b91dc4f379ed04ae,,implement new features,Hard,Apply,1.0,Very High,BERT+GPT,0.8,1.22
in-b91dc4f379ed04ae,,Build a robust data platform,Hard,Create,0.66,Medium,BERT (standalone),0.74,0.86
in-b91dc4f379ed04ae,,Design,Hard,Create,0.654,Medium,BERT (standalone),0.78,0.86
in-b91dc4f379ed04ae,,develop,Hard,Create,0.658,Medium,BERT (standalone),0.81,0.86
in-b91dc4f379ed04ae,,ELT processes,Hard,Apply,0.497,Low,BERT (standalone),0.78,0.86
in-b91dc4f379ed04ae,,Ensure data integrity:,Soft,,0.699,Medium,BERT (standalone),0.8,0.86
in-b91dc4f379ed04ae,,Take ownership of data quality,Hard,Apply,0.505,Medium Low,BERT (standalone),0.76,0.86
in-b91dc4f379ed04ae,,cleaning,Hard,Apply,0.508,Medium Low,BERT (standalone),0.84,0.86
in-b91dc4f379ed04ae,,transforming,Hard,Apply,0.514,Medium Low,BERT (standalone),0.9,0.86
in-b91dc4f379ed04ae,,Govern,Hard,Apply,0.507,Medium Low,BERT (standalone),0.78,0.86
in-b91dc4f379ed04ae,,secure:,Hard,Apply,0.511,Medium Low,BERT (standalone),0.81,0.86
in-b91dc4f379ed04ae,,collaborating closely with IT,Hard,Apply,0.439,Low,BERT (standalone),0.8,0.86
in-b91dc4f379ed04ae,,security teams,Soft,,0.624,Medium,BERT (standalone),0.8,0.86
in-b91dc4f379ed04ae,,ensure strong data governance.,Hard,Analyze,0.667,Medium,BERT (standalone),0.8,0.86
in-b91dc4f379ed04ae,,Innovate,Hard,Create,0.66,Medium,BERT (standalone),0.84,0.86
in-b91dc4f379ed04ae,,implement:,Hard,Apply,0.547,Medium Low,BERT (standalone),0.9,0.86
in-b91dc4f379ed04ae,,Assist with the setup,Hard,Apply,0.477,Low,BERT (standalone),0.74,0.86
in-b91dc4f379ed04ae,,configuration,Hard,Apply,0.493,Low,BERT (standalone),0.9,0.86
in-b91dc4f379ed04ae,,testing,Hard,Evaluate,0.521,Medium Low,BERT (standalone),0.81,0.86
in-fbc312fde20b3d37,,prepare written advice,Hard,Apply,1.0,Very High,BERT+GPT,0.8,1.18
in-fbc312fde20b3d37,,write Ministerials,Hard,Create,0.707,Medium High,GPT,0.86,0.94
in-fbc312fde20b3d37,,write briefings,Hard,Create,0.7,Medium High,GPT,0.81,0.94
in-fbc312fde20b3d37,,write complex correspondence,Hard,Create,0.707,Medium High,GPT,0.86,0.94
in-fbc312fde20b3d37,,prepare program performance reporting,Hard,Create,0.707,Medium High,GPT,0.86,0.94
in-b7d5a832485ce740,,collaborate with game development teams,Soft,,0.665,Medium,GPT,0.81,0.9
in-b7d5a832485ce740,,drive tools technology forward,Hard,Analyze,0.619,Medium,GPT,0.8,0.9
in-b7d5a832485ce740,,support development of game projects,Hard,Create,0.618,Medium,GPT,0.79,0.9
in-b7d5a832485ce740,,drive our tools technology,Hard,Analyze,0.479,Low,BERT (standalone),0.77,0.81
in-f6f59fcc57e153bf,,collaborate with teams,Soft,,0.7,Medium High,GPT,0.8,0.95
in-f6f59fcc57e153bf,,improve architecture patterns,Hard,Create,1.0,Very High,BERT+GPT,1.0,1.23
in-f6f59fcc57e153bf,,improve reliability,Hard,Create,0.775,Medium High,BERT+GPT,0.89,0.95
in-f6f59fcc57e153bf,,improve developer productivity,Hard,Create,0.722,Medium High,GPT,0.88,0.95
in-f6f59fcc57e153bf,,collaborate,Hard,Evaluate,0.347,Very Low,BERT (standalone),0.9,0.85
in-f6f59fcc57e153bf,,developer productivity.,Hard,Create,0.523,Medium Low,BERT (standalone),0.9,0.85
in-37d602d7beadc125,,build training datasets,Hard,Create,0.674,Medium,GPT,0.81,0.9
in-37d602d7beadc125,,evaluate benchmarks,Hard,Evaluate,0.682,Medium,GPT,0.87,0.9
in-37d602d7beadc125,,talented,Hard,Apply,0.346,Very Low,BERT (standalone),0.84,0.81
in-37d602d7beadc125,,build industry -leading training datasets,Hard,Create,0.631,Medium,BERT (standalone),0.82,0.81
in-37d602d7beadc125,,evaluation benchmarks for multimodal language models,Hard,Create,0.51,Medium Low,BERT (standalone),0.83,0.81
in-e3dc55a2d51c8f05,,develop features,Hard,Create,0.779,Medium High,GPT,0.83,0.99
in-e3dc55a2d51c8f05,,integrate services,Hard,Create,0.784,Medium High,GPT,0.86,0.99
in-e3dc55a2d51c8f05,,debug code,Hard,Analyze,1.0,Very High,BERT+GPT,0.8,1.26
in-e3dc55a2d51c8f05,,improve code quality,Hard,Create,1.0,Very High,BERT+GPT,0.79,1.29
in-8836faaf530ebf92,,manage service queues,Hard,Apply,1.0,Very High,BERT+GPT,0.79,1.33
in-8836faaf530ebf92,,contribute to security projects,Hard,Apply,1.0,Very High,BERT+GPT,0.81,1.33
in-8836faaf530ebf92,,ensure operational excellence,Soft,,0.936,Very High,BERT+GPT,0.87,1.33
in-8836faaf530ebf92,,improve processes,Hard,Create,0.768,Medium High,GPT,0.84,1.02
in-8836faaf530ebf92,,update documentation,Hard,Apply,0.684,Medium,GPT,0.89,1.02
in-6fd5254d3529565c,,develop new features,Hard,Create,0.73,Medium High,GPT,0.78,0.94
in-6fd5254d3529565c,,implement web analysis application,Hard,Apply,0.738,Medium High,GPT,0.83,0.94
in-6fd5254d3529565c,,write technical documentation,Hard,Create,0.743,Medium High,GPT,0.87,0.94
in-6fd5254d3529565c,,revise technical documentation,Hard,Create,1.0,Very High,BERT+GPT,0.83,1.19
in-6fd5254d3529565c,,ensure methodologies are followed,Hard,Analyze,1.0,Very High,BERT+GPT,0.83,1.2
in-6fd5254d3529565c,,participate in Scrum ceremonies,Soft,,0.637,Medium,GPT,0.81,0.94
in-6fd5254d3529565c,,understand software development life cycle,Hard,Create,0.65,Medium,GPT,0.83,0.94
in-6fd5254d3529565c,,become familiarised with best practice in coding,Hard,Apply,0.73,Medium High,GPT,0.78,0.94
in-6fd5254d3529565c,,be involved in scrum process,Soft,,0.628,Medium,GPT,0.74,0.94
in-6fd5254d3529565c,,development,Hard,Create,0.487,Low,BERT (standalone),0.9,0.85
in-6fd5254d3529565c,,implementation,Hard,Apply,0.241,Very Low,BERT (standalone),0.9,0.85
in-6fd5254d3529565c,,development,Hard,Create,0.547,Medium Low,BERT (standalone),0.9,0.85
in-6fd5254d3529565c,,test are followed,Hard,Evaluate,0.647,Medium,BERT (standalone),0.75,0.85
in-6fd5254d3529565c,,ensure effectiveness of code delivery,Hard,Analyze,0.641,Medium,BERT (standalone),0.8,0.85
