job_id,raw_text,jobbert_skills_raw,jobbert_skills_count,jobbert_knowledge_raw,jobbert_knowledge_count,gpt_skills_raw,gpt_skills_count,gpt_knowledge_raw,gpt_knowledge_count,final_skills,final_skills_count,final_knowledge,final_knowledge_count,jobbert_hard_skills,jobbert_soft_skills,jobbert_bloom_distribution,gpt_hard_skills,gpt_soft_skills,gpt_bloom_distribution,final_hard_skills,final_soft_skills,final_bloom_distribution,jobbert_avg_confidence,gpt_avg_confidence,final_avg_confidence,jobbert_confidence_distribution,gpt_confidence_distribution,final_confidence_distribution,coverage_total_components,covered_components,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,missing_components_count,model_agreement_score,exact_matches,partial_matches,no_matches,bert_only_skills,gpt_only_skills,fused_skills,bert_only_knowledge,gpt_only_knowledge,fused_knowledge,avg_semantic_density,avg_context_agreement,bloom_consistency_score,extraction_time_seconds
in-1ff77799c8c16660,This role will focus on helping to drive assurance and advisory initiatives to support the technology portfolio spanning across our wide spectrum of businesses.,"[""drive assurance"", ""advisory initiatives""]",2,[],0,"[""drive assurance initiatives"", ""drive advisory initiatives""]",2,"[""technology portfolio""]",1,"[""drive assurance initiatives"", ""drive advisory initiatives""]",2,"[""technology portfolio""]",1,2,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.8429473256522788,0.8668848892914208,0.788809987640438,"{""Very High"": 0, ""High"": 2, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 1, ""High"": 1, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 1, ""Medium High"": 1, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,1,0.021632591674202367,0.0,0.021632591674202367,18,0.7221577924031477,1,1,2,0,0,2,0,1,0,0.8462500000000001,1.2707048750571948,1.0,7.907729864120483
in-8b20bbf16019e5c1,"Business FunctionGroup Operations enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation.",[],0,[],0,"[""enable bank operations"", ""empower bank operations""]",2,"[""Group Operations"", ""bank infrastructure"", ""productivity"", ""quality control"", ""technology"", ""people capability"", ""innovation""]",7,"[""enable bank operations"", ""empower bank operations""]",2,"[""Group Operations"", ""bank infrastructure"", ""productivity"", ""quality control"", ""technology"", ""people capability"", ""innovation""]",7,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.0,0.6088896000000001,0.6088896000000001,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,6,0.1253800109813088,0.0,0.1253800109813088,13,0.0,0,0,2,0,2,0,0,7,0,0.8050000000000002,0.9,1.0,1.9841253757476807
in-c6260e808dfcf870,"We embrace and celebrate diversity in all its forms, recognizing that it makes our organization stronger.",[],0,[],0,[],0,[],0,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,0,0.0,0.0,0.0,19,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.2889680862426758
in-08bda50c77b08f46,"The keys to reaching that goal are effective leadership, equal application of fair human resources policies, competitive wages and benefits, and close attention to all health enthusiast matters.",[],0,[],0,"[""apply human resources policies"", ""pay competitive wages"", ""pay competitive benefits"", ""lead effectively"", ""pay close attention""]",5,"[""human resources policies"", ""health enthusiast matters""]",2,"[""apply human resources policies"", ""pay competitive wages"", ""pay competitive benefits"", ""lead effectively"", ""pay close attention""]",5,"[""human resources policies"", ""health enthusiast matters""]",2,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",3,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 3, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",3,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 3, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.0,0.6160216201920001,0.6160216201920001,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 3, ""Medium Low"": 2, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 3, ""Medium Low"": 2, ""Low"": 0, ""Very Low"": 0}",19,0,0.0,0.0,0.0,19,0.0,0,0,5,0,5,0,0,2,0,0.8015000000000001,0.9,1.0,2.482365846633911
in-9c56a08563d056f0,Pay ranges may be modified in the future.Latham Pool Products is an Equal Opportunity Employer.,[],0,[],0,[],0,[],0,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,0,0.0,0.0,0.0,19,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9103984832763672
in-63f669715089b1d1,"The area offers a low cost of living and provides many social, cultural, and recreational options, including parks, museums, festivals, professional regional theater, and premier shopping venues.",[],0,[],0,[],0,[],0,[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,0,0.0,0.0,0.0,19,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.751490592956543
in-e60f7f8e30553e08,We do this through infrastructure as code and configuration scripts that build fully operational commercial applications that can immediately be used in a production environment.,[],0,[],0,"[""build commercial applications""]",1,"[""infrastructure as code"", ""configuration scripts""]",2,"[""build commercial applications""]",1,"[""infrastructure as code"", ""configuration scripts""]",2,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",1,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 0}",1,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 0}",0.0,0.7118048102400001,0.7118048102400001,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 1, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 1, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,2,0.041491323743337284,0.023975625511188457,0.017515698232148824,17,0.0,0,0,1,0,1,0,0,2,0,0.8700000000000001,0.9,1.0,1.3645555973052979
in-f8982109357c56e0,"We’re looking for a Data Scientist who thrives at the intersection of data engineering, machine learning, and creative experimentation.",[],0,"[""data engineering,"", ""machine learning,"", ""creative experimentation.""]",3,[],0,"[""data engineering"", ""machine learning"", ""creative experimentation""]",3,[],0,"[""data engineering"", ""machine learning"", ""creative experimentation""]",3,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,5,0.14459678018988525,0.0,0.14459678018988525,14,0.0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,2.283344030380249
in-ea2cd0b0c6f52f4f,"When we say multi -scale, we mean it: we build world -class foundation models for simulating both the microscopic motion of atoms and the macroscopic flow of liquids in 1GW data centers.",[],0,[],0,"[""simulate microscopic motion of atoms"", ""simulate macroscopic flow of liquids""]",2,"[""foundation models"", ""data centers""]",2,"[""simulate microscopic motion of atoms"", ""simulate macroscopic flow of liquids""]",2,"[""foundation models"", ""data centers""]",2,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",2,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",2,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.6712207303680002,0.6712207303680002,"{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 0, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 0, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}",19,1,0.017583626822421428,0.0,0.017583626822421428,18,0.0,0,0,2,0,2,0,0,2,0,0.792,0.9,1.0,1.1717538833618164
in-26af18a0c573f667,"In this key role, you’ll work closely with cross -disciplined teams to ensure alignment between creative vision, technical execution, and production targets.","[""work closely with cross -disciplined teams"", ""ensure alignment between creative vision"", ""technical execution"", ""production targets.""]",4,[],0,"[""ensure alignment between creative vision, technical execution, and production targets"", ""work closely with cross-disciplined teams""]",2,[],0,"[""ensure alignment between creative vision, technical execution, and production targets"", ""work closely with cross-disciplined teams"", ""ensure alignment between creative vision"", ""technical execution"", ""production targets.""]",5,[],0,3,1,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 1}",0,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",3,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 2}",0.7782593958122733,0.7802537134772647,0.6672446701302187,"{""Very High"": 1, ""High"": 1, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 1, ""High"": 0, ""Medium High"": 0, ""Medium"": 1, ""Medium Low"": 0, ""Low"": 0, ""Very Low"": 0}","{""Very High"": 1, ""High"": 0, ""Medium High"": 0, ""Medium"": 2, ""Medium Low"": 2, ""Low"": 0, ""Very Low"": 0}",19,1,0.00937272811151447,0.00937272811151447,0.0,18,0.2500000298023224,1,0,5,3,1,1,0,0,0,0.8375,0.950000012755394,1.0,2.6295289993286133
