job_id,skill,type,bloom,confidence_score,confidence_tier,verification_level,is_verified,semantic_density,context_agreement,source,source_file,review_id,human_valid,human_type,human_bloom,human_notes,reviewer_id,job_text
in-7fd767baaf0bccff,identify options for mitigation,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.81,1.26,BERT+LLM,verified_skills.csv,skill_87484b4d70fb,,,,,,"Further to this we are keen to hear from you if you have the ability to: Assess business and financial performance and/or to undertake complex data analysis. Identify strategic risks and options for mitigation. Have commercial and/or public sector experience. Clearly communicate complex issues both orally and in writing. Develop credible, respected relationships with diverse stakeholders at a range of levels of seniority. Be flexible and respond to changes in priorities and demands for work, and"
in-46527b145958f44b,ensure compliance with internal controls,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.82,1.32,BERT+LLM,verified_skills.csv,skill_570be0e04350,,,,,,"This role involves processing and reconciling financial transactions, maintaining accurate records, assisting with month -end and year -end closings, and supporting general accounting operations to ensure compliance with internal controls and policies."
in-b43f970b349508c3,ensure compliant data,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.79,1.3,BERT+LLM,verified_skills.csv,skill_310c738ada96,,,,,,"This position leads the administration and optimization of our Dayforce HCM platform to deliver seamless employee experiences, ensure compliant data, and enable data -driven decision -making across the organization."
in-f3dbed03bcc0bfe6,ensure automation,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.84,1.37,BERT+LLM,verified_skills.csv,skill_61bfef11d945,,,,,,"You’ll lead design discussions, enforce coding standards, and ensure automation and scalability are at the core of every solution."
in-0c8aa4fe6af5842e,maintain cybersecurity risk register,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.83,1.43,BERT+LLM,verified_skills.csv,skill_703e0d3e501d,,,,,,Maintain the cybersecurity risk register for reporting to the Board.
in-6090d60a53d7788e,analyze data,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.78,1.31,BERT+LLM,verified_skills.csv,skill_fdf4aa885a40,,,,,,"Your work will involve analysing data, conducting stress tests, and providing recommendations to mitigate risks.Who are we? We are the world’s largest and most successful deal analytics and modelling team."
in-7af5265a177ced95,ensure best coding practices,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.79,1.31,BERT+LLM,verified_skills.csv,skill_fbd6cf50a7da,,,,,,"You'll play a vital role in building and maintaining custom Shopify themes and apps, ensuring performance, accessibility, and best coding practices throughout the project lifecycle."
in-e6cfe7e445cc548b,ensure data quality,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.77,1.33,BERT+LLM,verified_skills.csv,skill_71f0b8e896d7,,,,,,"Leverage Python and SQL to optimize processing performance, ensure data quality, and enable scalable analytics across investment workflows. Cross -Functional Collaboration: Work closely with investment, operations, and data science teams to identify high -impact analytical use cases."
in-1d754c98c93ebea6,set up monitors,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.75,1.29,BERT+LLM,verified_skills.csv,skill_b5d363c430eb,,,,,,"Duties may also include, but are not limited to, setting up monitors, cameras, replay equipment, cabling, moving tables/chairs. ### Knowledge Skills and Abilities The ideal candidate will have a working knowledge of multimedia production techniques including sound recording, graphics, television, photography, lighting, and editing and demonstrate the ability to quickly learn and apply new skills in developing television, film, radio, or multimedia content."
in-8ad8e7c8de4037c3,deploy infrastructure in code,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.81,1.25,BERT+LLM,verified_skills.csv,skill_c470dd921a1a,,,,,,"When we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud. BASIC QUALIFICATIONS ------------------------ Experience as a technical Security consultant with hands -on technical expertise in building AWS cloud security capabilities in code and deploying infrastructure in code Implementation experience with enterprise security solutions such as WAF, IPS, Anti -DDOS, and SIEM Experience in supporting internal and external customers."
in-d18c707abbf6d1eb,root cause failures,Hard,Analyze,0.819,High,Verified_HIGH,True,0.78,1.08,BERT+LLM,verified_skills.csv,skill_1c33121d6318,,,,,,We provide a platform to enable our Engineering and Quality teams to deliver better products more effectively by developing orchestration to make the end -to -end process of building operating systems continuously improving We collaborate with teams of software and quality engineers We guide the organization on process improvement initiatives We work with the engineering and extended test teams to improve the continuous build’s regression test coverage Preferred Qualifications Knowledge of deep 
in-77696a202803c29b,ensure robustness of material database system,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.84,1.19,BERT+LLM,verified_skills.csv,skill_db5172e61bee,,,,,,"Data & Digital Enablement Support the development and maintenance of analytics platforms to track material utilization, performance, and cost efficiency. Lead initiatives to digitize and streamline material workflows and integrate with PLM/ERP systems. Collaborate with IT and digital innovation teams to ensure the robustness of the material database system. WHAT WE WILL BE LOOKING FOR IN YOU: Technical Expertise Deep knowledge of fabric types, construction, finishing, and performance characteris"
in-82a03631efa7b871,ensure seamless delivery of AI solutions,Hard,Analyze,0.735,Medium High,Verified_HIGH,True,0.77,0.9,BERT+LLM,verified_skills.csv,skill_105fbf6c8981,,,,,,"However, you’ll also have the flexibility and capability to step into engineering tasks when needed, ensuring seamless integration and delivery of AI solutions."
in-d0357ccf3b02df8f,ensure reliable integrations,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.88,1.3,BERT+LLM,verified_skills.csv,skill_d834ddacb565,,,,,,"You will be responsible for driving innovation through data and automation technologies, ensuring seamless data availability, reliable integrations, and operational efficiency across all company divisions in alignment with the organization's strategic objectives."
in-22edc9e9cdcf8599,maintain services,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.84,1.31,BERT+LLM,verified_skills.csv,skill_40f39045c91a,,,,,,"We keep our networks up and running, ensuring our users have the best and fastest experience possible.Responsibilities -------------------- Improve the lifecycle of services from inception and design, through to deployment, operation and refinement. Support services before they go live through activities such as system design consulting, developing software platforms and frameworks, capacity planning and launch reviews. Maintain services once they are live by monitoring availability, latency and"
in-18d58b2611b20352,maintain full-stack solutions,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.83,1.22,BERT+LLM,verified_skills.csv,skill_b9ea2f9ef781,,,,,,"Key Responsibilities Develop and maintain full -stack solution using Java (Spring Boot, GraphQL, Rest API, Kafka) and Angular. Ensure proper ingestion, curation, storage, and management of data to meet business needs. Write and execute unit, performance, and integration tests. Collaborate with cross -functional teams to solve complex data challenges. Closely work with users to gather the requirements and convert them into an actionable plan."
in-3eec0b76efc947d4,ensure features are accessible,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.8,1.3,BERT+LLM,verified_skills.csv,skill_9ff3f8aa09b5,,,,,,"Ensure features are accessible and enjoyable across a wide range of player demographics, abilities and play styles. Work Environment: OFFICE: Quiet and within a secured office location Physical Demands: While performing the duties of this job, the employee is regularly required to talk or hear."
in-66b97dc6ae697ac9,ensure auditable access management,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.84,1.24,BERT+LLM,verified_skills.csv,skill_ed34849f26cd,,,,,,"This role is critical in ensuring secure, compliant, and auditable access management across the organization."
in-9af59d2bfaa79ff6,ensure compliance with industry standards,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.83,1.4,BERT+LLM,verified_skills.csv,skill_20ccdab6fe32,,,,,,"The role also involves collaborating with development teams, leading security initiatives, and ensuring compliance with industry standards."
in-dbdc5514cc99c303,maintain Microsoft Fabric environments,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.87,1.31,BERT+LLM,verified_skills.csv,skill_f75de6899ab9,,,,,,"This role sits within the Digital team and provides the technical depth and hands -on expertise required to maintain, optimise and evolve the Microsoft Power BI and Microsoft Fabric environments, in partnership with the firm’s Data Analytics and Insights team, Data Engineering, IT Applications and Cloud & Infrastructure."
in-38d70f8f1a00eb3d,analyze problems,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.83,1.33,BERT+LLM,verified_skills.csv,skill_35bcbf33997a,,,,,,"Responsibilities Perform analytical deep -dives to analyze problems and opportunities, identify the hypothesis and design & execute experiments Inform future experimentation design and roadmaps by performing exploratory analysis to understand user engagement behavior and derive insights Create personalized segmentation strategies leveraging propensity models to enable targeting of offers and experiences based on user attributes Identify key trends and build automated reporting & executive -facin"
in-e8b799e2ebe68209,maintain DLP incident playbooks,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.81,1.35,BERT+LLM,verified_skills.csv,skill_6302b8a70b2c,,,,,,"Incident Response: Follow the DLP incident response process, collaborating with all stakeholders (i.e., HR, Privacy, and Business Units) to investigate, contain, and remediate data loss incidents. Develop and maintain DLP incident playbooks and ensure timely response to alerts. Provide detailed analysis and reporting on data loss incidents, root causes, and corrective measures. Conduct post -incident reviews and recommend improvements to prevent future incidents."
in-eab5b9ffcb9004dd,debug code,Hard,Analyze,0.929,Very High,Verified_HIGH,True,0.8,1.24,BERT+LLM,verified_skills.csv,skill_2c78c11794c6,,,,,,"You will troubleshoot technical problems for customers with a mix of debugging, networking, system administration, updating documentation and coding/scripting."
in-712828cffdaa826c,install logging software,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.81,1.25,BERT+LLM,verified_skills.csv,skill_ecd4a5239491,,,,,,"Employing some of the most talented, dedicated people on the planet is not by chance. This is a hybrid position in Puerto Rico What YOU will do: Provide IT systems administration for the eQube DaaS platform hosted on AWS Linux environment. Install logging, monitoring and Anti -virus and other software as required to keep the infrastructure in compliance with Collins standards Work with Cybersecurity, GT and the ATO office as required to keep the infrastructure in compliance . Develop and maintai"
in-7221b84c1b734fa0,ensure compliance with regulatory standards,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.84,1.31,BERT+LLM,verified_skills.csv,skill_a0ec902dfff5,,,,,,"Design and execute data migration and ETL processes, ensuring data quality, consistency, and compliance with regulatory standards."
in-2122823730daeb76,use leading-edge technology,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.83,1.4,BERT+LLM,verified_skills.csv,skill_326144e84465,,,,,,"You’re seeking a new role where you can indulge your passion for business improvement, using leading -edge technology, software, and technical solutions."
in-dd7218b3ba1e54a6,maintain front-end modules,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.81,1.32,BERT+LLM,verified_skills.csv,skill_2abe6eb3a388,,,,,,"4 . Front -end Development: Enhance and maintain front -end modules using React, Angular, or Blazor, delivering responsive user interfaces, seamless API consumption, and consistent user experiences across all supported devices."
in-ea31eccb146e511e,ensure equipment is operational,Hard,Analyze,1.0,Very High,Verified_HIGH,True,0.8,1.3,BERT+LLM,verified_skills.csv,skill_f8b41f9736b7,,,,,,Manage relevant data wrangling exercise and ensure backups are planned and performed to maintain integrity and records Evaluate and plan future needs of storage and archival resources. Ensure the equipment is operational and functioning at optimal level. Ensure that completed projects are clear from operational storage and archived into the appropriate storage resource. Publish approved content into relevant server and liaise with stakeholders to ensure projects are rolled out to the learners ef
